,Unnamed: 0.1,SchoolCode,CohortStudents,Dropout (Count),Dropout Rate,Unnamed: 0,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,FundPerStudent,Educational Option Type,Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),Low Grade,High Grade,Enrollment (Ages 5-17),TotalFTE,ClearFTE,OtherFTE,EnrollmentTotal,EnrollmentWhite,EnrollmentBlack,EnrollmentAsian,EnrollmentHispanic,EnrollmentNative,CountyMedianIncome,MedianIncome,TotalCourses,TotalEnrollment,UCCSUCourses,UCCSUEnrollment,StaffACourses,StaffAEnrollment,StaffBCourses,StaffBEnrollment,StaffNCourses,StaffNEnrollment,NCLBCoreCourses,NCLBEnrollment
1305,1330,4036703,4824.0,108.0,0.0223880597014925,4036703,San Luis Obispo High,68809,San Luis Coastal Unified,40,San Luis Obispo,45368.86005388055,Traditional,1636,382,0.2334963325183374,9,12,1590,76.54,67.72,4.43,1607.0,926,11,78,489,*,45527,"75,578",283,7749,201.0,5913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1306,1675,4030045,956.0,88.0,0.0920502092050209,4030045,Pacific Beach High,68809,San Luis Coastal Unified,40,San Luis Obispo,45368.86005388055,Continuation School,53,41,0.7735849056603774,10,12,46,4.2,1.2,3.0,91.0,36,*,*,43,*,45527,"75,578",46,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1307,867,135426,816.0,176.0,0.2156862745098039,135426,Bridgepoint High (Continuation),61234,Newark Unified,1,Alameda,32072.85324746506,Continuation School,62,25,0.4032258064516129,9,12,22,5.59,2.48,3.11,85.0,12,*,*,52,*,59976,"144,011",46,428,20.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1308,1560,130054,6328.0,496.0,0.0783817951959544,130054,Newark Memorial High,61234,Newark Unified,1,Alameda,32072.85324746506,Traditional,1634,580,0.3549571603427172,9,12,1602,68.46,56.15,12.31,1738.0,199,60,228,947,*,59976,"144,011",503,10179,278.0,7661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1309,879,5337407,48.0,0.0,0.0,5337407,Hayfork High,75028,Mountain Valley Unified,53,Trinity,389418.40452380956,Traditional,84,71,0.8452380952380952,9,12,79,7.12,4.58,2.46,86.0,44,*,23,*,*,32164,"37,197",58,491,28.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1310,880,3330370,9584.0,160.0,0.01669449081803,3330370,Temecula Valley High,75192,Temecula Valley Unified,33,Riverside,27528.329719693338,Traditional,2925,682,0.2331623931623931,9,12,2843,117.98,104.87,4.76,3182.0,1462,96,95,1116,18,35590,"108,126",717,20422,420.0,14192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1311,920,3330495,2944.0,244.0,0.0828804347826086,3330495,Rancho Vista High,75192,Temecula Valley Unified,33,Riverside,27528.329719693338,Continuation School,202,84,0.4158415841584158,9,12,181,12.8,7.3,5.5,328.0,113,24,*,131,*,35590,"108,126",60,979,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1312,982,3330743,8432.0,36.0,0.00426944971537,3330743,Chaparral High,75192,Temecula Valley Unified,33,Riverside,27528.329719693338,Traditional,2973,711,0.2391523713420787,9,12,2868,111.15,99.09,0.4,3026.0,1030,149,128,1176,*,35590,"108,126",794,20474,422.0,14240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1313,1609,105734,9792.0,132.0,0.0134803921568627,105734,Great Oak High,75192,Temecula Valley Unified,33,Riverside,27528.329719693338,Traditional,3082,526,0.1706683971447112,9,12,3018,123.42,114.0,3.26,3239.0,1354,114,236,941,52,35590,"108,126",692,19032,495.0,15767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1314,886,1937747,120.0,32.0,0.2666666666666666,1937747,Ron Hockwalt Academies (Continuation),73460,Walnut Valley Unified,19,Los Angeles,30975.46603252892,Continuation School,51,12,0.2352941176470588,9,12,20,8.6,4.96,3.52,70.0,*,*,22,30,*,35925,"106,290",46,149,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
