,Dcode,avg_dropout_rate,total_fund,CO Code,District,EDP 365,Current Expense ADA,Current Expense Per ADA,LEA Type,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C24,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30
37,61820,8.473214285714286,176007453.48,8,DEL NORTE CO UNIF SCH DIST,"44,698,597.30","3,392.97","13,173.89",Unified,54326,5641,1488,871,182,0,47,25,653,2254,0,0,154,149,35651,27034,41,130,251,0,0,5,134,0,0,6766,0,0,1290,0,13034,0,8718,0,0,0,0,1905,1091,0,0,57,0,0,0,0,23,0,272,0
38,61838,0.0,223665963.56,9,BUCKEYE UNION SCH DIST,"49,356,482.11","4,544.81","10,859.97",Elementary,64403,1375,281,390,63,0,0,26,185,405,0,0,0,88,35675,27992,28,0,333,0,0,0,27,0,0,5856,0,0,1439,0,27353,0,17743,0,0,0,1549,0,2086,0,171,721,0,0,0,66,40,0,342,0
39,61853,1.8408088235294118,261703922.38,9,EL DORADO UN HIGH SCHOOL DIST,"77,743,140.76","6,299.68","12,340.81",High,90446,2468,675,898,152,0,116,9,48,601,0,0,0,121,42082,30386,39,0,478,0,0,11,40,0,0,8849,0,0,2279,0,45896,0,37018,0,0,0,2017,1453,1,0,170,1130,0,0,0,67,168,301,289,0
40,61903,8.036923076923076,158420468.03,9,LAKE TAHOE UNI SCH DIST,"48,032,847.67","3,590.02","13,379.55",Unified,56790,2937,686,1057,111,0,21,123,47,933,0,0,0,70,26178,15893,28,2338,253,0,0,0,121,0,0,6122,0,0,1423,0,27675,0,24944,0,0,0,0,111,80,0,101,286,0,0,0,105,169,0,223,0
41,62117,6.909511568123394,2388214400.44,10,CLOVIS UNIFIED SCHOOL DISTRICT,"445,849,473.76","41,008.48","10,872.13",Unified,612651,29386,8108,7738,1580,0,277,342,2929,9873,0,0,119,0,407747,299912,312,23846,3066,0,0,18,728,16834,0,49029,0,0,14002,0,175518,0,118230,0,0,0,0,1430,2519,1329,0,4247,0,0,0,14915,79,0,4605,0
42,62125,27.241999999999997,306518919.24,10,COALINGA HURON JT UNIFIED SCH DIST,"54,650,684.31","4,015.70","13,609.25",Unified,69620,5936,2001,938,138,0,56,163,947,1831,0,0,0,0,50946,41474,33,0,303,0,0,4,132,2515,0,4930,0,0,1555,0,12738,0,8087,0,0,0,0,1771,504,0,0,97,0,0,0,0,33,0,876,0
43,62158,1.465625,201766188.43,10,FOWLER UNIFIED SCH DIST,"31,435,016.84","2,482.44","12,662.95",Unified,38806,3024,865,412,99,0,22,66,104,1555,0,0,0,0,25202,21654,19,0,128,0,0,9,99,0,0,2432,0,0,861,0,10580,0,7005,0,0,0,0,1295,968,0,0,201,0,0,0,19,10,0,457,0
44,62166,14.95699745547074,5267775768.89,10,FRESNO UNIFIED SCH DIST,"910,693,019.62","66,761.96","13,640.90",Unified,1154034,130179,49321,15755,2935,0,1175,1600,12072,50196,0,0,60,0,881923,695525,500,39439,4935,0,0,0,3303,8656,0,102469,0,0,27096,0,141932,0,107242,0,0,0,0,0,7855,215,0,136,0,0,0,1044,321,0,9198,0
45,62257,1.4363636363636363,81757181.52,10,KINGSBURG JOINT UNION ELEMENTARY SCHOOL DISTRICT,"13,772,119.34","1,099.16","12,529.68",High,26768,2163,778,493,93,0,0,52,122,718,0,0,0,0,19458,17696,16,0,219,0,0,0,54,0,0,1473,0,0,0,0,5147,0,3464,0,0,0,0,654,195,0,0,151,0,0,0,0,0,0,200,0
46,62265,4.282110091743119,547375394.32,10,KINGS CANYON UNIFIED SCHOOL DIST,"117,294,184.14","9,081.53","12,915.69",Unified,156088,14299,5011,1435,647,0,128,621,1030,5888,0,0,3,183,117985,96387,70,3223,694,0,0,9,475,0,0,13750,0,0,3377,0,23804,0,14749,0,0,0,0,3234,1141,0,0,362,0,0,0,6,0,0,885,0
