DistrictCode,CountyName,DistrictName,SEDcount,SEDpct,CountyMedianIncome,MedianIncome
62810,Humboldt,Fortuna Union High,596,52.4,33244,"51,304"
62828,Humboldt,Freshwater Elementary,89,27.6,33244,"71,429"
62836,Humboldt,Garfield Elementary,20,34.5,33244,"93,750"
62851,Humboldt,Green Point Elementary,4,40,33244,"60,750"
62885,Humboldt,Hydesville Elementary,63,36,33244,"56,667"
62893,Humboldt,Jacoby Creek Elementary,131,28.9,33244,"74,297"
62901,Humboldt,Klamath-Trinity Joint Unified,766,77.4,33244,"49,141"
62919,Humboldt,Kneeland Elementary,12,46.2,33244,"66,719"
62927,Humboldt,Loleta Union Elementary,90,92.8,33244,"63,973"
62935,Humboldt,Maple Creek Elementary,8,72.7,33244,33244
62950,Humboldt,McKinleyville Union Elementary,622,64.1,33244,"59,846"
62968,Humboldt,Orick Elementary,15,71.4,33244,"36,875"
62976,Humboldt,Pacific Union Elementary,281,47.7,33244,"62,686"
62984,Humboldt,Peninsula Union,31,93.9,33244,"43,875"
63008,Humboldt,Rio Dell Elementary,235,78.6,33244,"36,458"
63024,Humboldt,Scotia Union Elementary,133,70.7,33244,"43,125"
63032,Humboldt,South Bay Union Elementary,640,67.1,33244,"68,773"
63040,Humboldt,Southern Humboldt Joint Unified,398,59.8,33244,"40,889"
63057,Humboldt,Trinidad Union Elementary,108,58.4,33244,"69,615"
75374,Humboldt,Ferndale Unified,264,58.1,33244,"62,350"
75382,Humboldt,Mattole Unified,11,24.4,33244,"37,917"
75515,Humboldt,Eureka City Schools,2587,69.6,33244,"66,719"
76802,Humboldt,Fortuna Elementary,887,71,33244,"54,289"
63073,Imperial,Brawley Elementary,3478,89.2,25451,"51,139"
63081,Imperial,Brawley Union High,1554,77,25451,"51,139"
63099,Imperial,Calexico Unified,7685,88.1,25451,"47,476"
63107,Imperial,Calipatria Unified,1003,89,25451,"32,625"
63115,Imperial,Central Union High,3139,75.8,25451,"50,368"
63123,Imperial,El Centro Elementary,4625,83.5,25451,"47,493"
63131,Imperial,Heber Elementary,847,71.7,25451,"54,668"
63149,Imperial,Holtville Unified,1248,77.4,25451,"56,182"
63164,Imperial,Imperial Unified,2177,50.2,25451,"83,536"
63172,Imperial,Magnolia Union Elementary,14,10.4,25451,"36,875"
63180,Imperial,McCabe Union Elementary,402,30.6,25451,"93,929"
63198,Imperial,Meadows Union Elementary,339,81.3,25451,"41,107"
63206,Imperial,Mulberry Elementary,23,29.5,25451,"66,042"
