SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,EnrollmentTotal,EnrollmentWhite,EnrollmentBlack,EnrollmentAsian,EnrollmentHispanic,EnrollmentNative
124404,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,64733,Los Angeles Unified,19,Los Angeles,354,*,*,*,341,*
1730043,Ed Donaldson Education Center,64014,Kelseyville Unified,17,Lake,31,17,*,*,*,*
5432828,Mt. Whitney High,72256,Visalia Unified,54,Tulare,1779,315,32,81,1245,16
1033729,Oasis Continuation High,62257,Kingsburg Joint Union High,10,Fresno,68,*,*,*,55,*
1730050,Clover Valley High (Continuation),76976,Upper Lake Unified,17,Lake,29,*,*,*,11,*
3630597,Rialto High,67850,Rialto Unified,36,San Bernardino,2923,71,135,28,2642,*
4032009,Coast Union High,75465,Coast Unified,40,San Luis Obispo,172,58,*,*,113,*
4630034,Sierra Pass (Continuation),70177,Sierra-Plumas Joint Unified,46,Sierra,,,,,,
1934868,La Serna High,65128,Whittier Union High,19,Los Angeles,2598,311,35,86,2098,*
4130324,Baden High (Continuation),69070,South San Francisco Unified,41,San Mateo,175,12,*,*,112,*
108076,Central Valley High,71043,Ceres Unified,50,Stanislaus,2329,167,29,117,1969,*
108084,Whitney High,75085,Rocklin Unified,31,Placer,2145,1223,46,179,363,*
108092,Orange Cove High,62265,Kings Canyon Joint Unified,10,Fresno,689,16,*,*,668,*
116285,Redondo Beach Learning Academy,75341,Redondo Beach Unified,19,Los Angeles,15,*,*,*,*,*
124479,Dr. Maya Angelou Community High,64733,Los Angeles Unified,19,Los Angeles,1108,*,85,*,1012,*
124487,Public Service Community at Diego Rivera Learning Complex,64733,Los Angeles Unified,19,Los Angeles,551,*,18,*,524,*
1132109,Elk Creek Junior-Senior High,62653,Stony Creek Joint Unified,11,Glenn,27,12,*,*,*,*
1934926,Lawndale High,64352,Centinela Valley Union High,19,Los Angeles,2193,38,423,49,1546,*
124495,Communication and Technology at Diego Rivera Learning Complex,64733,Los Angeles Unified,19,Los Angeles,538,14,29,*,494,*
132688,Dewey Academy,61259,Oakland Unified,1,Alameda,289,*,109,25,129,*
3335759,Palo Verde High,67181,Palo Verde Unified,33,Riverside,888,162,66,*,631,*
124503,Diego Rivera Learning Complex Green Design STEAM Academy,64733,Los Angeles Unified,19,Los Angeles,617,*,22,*,587,*
124511,Performing Arts Community at Diego Rivera Learning Complex,64733,Los Angeles Unified,19,Los Angeles,537,*,54,*,478,*
132704,Dublin High,75093,Dublin Unified,1,Alameda,3339,680,133,1694,364,*
3933793,Village Oaks High,68569,Lincoln Unified,39,San Joaquin,269,49,44,19,137,*
1533538,Kern Valley High,63529,Kern High,15,Kern,478,338,*,*,93,13
5031521,Denair High,71068,Denair Unified,50,Stanislaus,293,177,*,*,39,63
4335204,Oak Grove High,69427,East Side Union High,43,Santa Clara,1735,109,70,367,1021,*
3630696,Mountain View High,75051,Lucerne Valley Unified,36,San Bernardino,15,*,*,*,*,*
3933801,Lincoln High,68569,Lincoln Unified,39,San Joaquin,2994,618,332,290,1455,19
3630712,Central High (Continuation),67611,Barstow Unified,36,San Bernardino,216,33,61,*,106,*
108159,Cesar Chavez High,68676,Stockton Unified,39,San Joaquin,2377,132,322,488,1185,33
124552,Applied Technology Center,64808,Montebello Unified,19,Los Angeles,520,*,*,*,495,*
132746,Emery Secondary,61168,Emery Unified,1,Alameda,207,13,89,25,62,*
124560,Synergy Quantum Academy,64733,Los Angeles Unified,19,Los Angeles,560,*,*,*,554,*
116368,Mission Oak High,72249,Tulare Joint Union High,54,Tulare,1605,271,24,26,1268,*
5637780,Mary B. Perry High,32276,California Education Authority (CEA) Headquarters,34,Sacramento,154,*,46,*,97,*
116376,Lathrop High,68593,Manteca Unified,39,San Joaquin,1497,188,116,161,762,*
3630746,Sultana High,75044,Hesperia Unified,36,San Bernardino,2136,559,128,*,1389,15
108191,Summit High,67710,Fontana Unified,36,San Bernardino,2672,192,244,88,1987,*
116384,Robert F. Kennedy High,63412,Delano Joint Union High,15,Kern,1377,21,*,*,1247,*
116392,Independence High,63529,Kern High,15,Kern,2372,466,189,142,1432,23
4130472,Burlingame High,69047,San Mateo Union High,41,San Mateo,1558,708,*,309,313,*
116400,Mira Monte High,63529,Kern High,15,Kern,2790,73,142,19,2512,*
3032752,Garden Grove High,66522,Garden Grove Unified,30,Orange,2399,138,23,943,1202,*
3630779,Redlands East Valley High,67843,Redlands Unified,36,San Bernardino,2029,616,137,89,1068,*
4531901,Central Valley High,75267,Gateway Unified,45,Shasta,683,445,18,24,119,53
5637822,Ventura High,72652,Ventura Unified,56,Ventura,2161,781,29,31,1234,*
108225,Ronald E. McNair High,68585,Lodi Unified,39,San Joaquin,1963,84,229,750,721,*
3630787,Silverado High,67934,Victor Valley Union High,36,San Bernardino,2467,166,479,30,1630,14
1935048,Leuzinger High,64352,Centinela Valley Union High,19,Los Angeles,1930,28,286,68,1452,*
3032786,Gilbert High (Continuation),66431,Anaheim Union High,30,Orange,781,52,15,16,670,*
3630803,Barstow High,67611,Barstow Unified,36,San Bernardino,1595,302,269,14,889,17
1033950,Laton High,62281,Laton Joint Unified,10,Fresno,162,15,*,*,131,*
100065,Oakland Unity High,61259,Oakland Unified,1,Alameda,372,*,17,*,331,*
116459,Antelope High,66928,Roseville Joint Union High,31,Placer,1907,793,145,234,434,*
730861,Antioch High,61648,Antioch Unified,7,Contra Costa,2110,305,438,49,1137,12
100081,William J. (Pete) Knight High,64246,Antelope Valley Union High,19,Los Angeles,3188,97,421,28,2531,13
3630845,Chaffey Community Day,67652,Chaffey Joint Union High,36,San Bernardino,29,*,*,*,22,*
3933959,Linden High,68577,Linden Unified,39,San Joaquin,735,213,*,11,484,*
116491,Open Door Charter,10272,Monterey County Office of Education,27,Monterey,57,*,*,*,54,*
1935121,Abraham Lincoln Senior High,64733,Los Angeles Unified,19,Los Angeles,1150,14,32,236,858,*
2230035,Spring Hill High (Continuation),65532,Mariposa County Unified,22,Mariposa,61,27,*,*,22,*
116509,Alliance Morgan McKinzie High,64733,Los Angeles Unified,19,Los Angeles,475,*,*,*,470,*
5130018,Albert Powell Continuation,71464,Yuba City Unified,51,Sutter,168,45,*,11,90,*
3335973,Perris High,67207,Perris Union High,33,Riverside,2427,54,130,*,2196,*
3737384,Sunset High (Continuation),68346,San Dieguito Union High,37,San Diego,161,92,*,11,39,*
132910,College and Career Preparatory Academy,10306,Orange County Department of Education,30,Orange,459,51,11,*,373,*
3630894,Granite Hills High,75077,Apple Valley Unified,36,San Bernardino,1745,515,214,31,930,*
1337138,Sam Webb Continuation,63149,Holtville Unified,13,Imperial,24,*,*,*,22,*
3630902,Henry J. Kaiser High,67710,Fontana Unified,36,San Bernardino,2190,79,108,26,1938,*
124727,Kingsburg Independent Study High,62257,Kingsburg Joint Union High,10,Fresno,118,38,*,*,74,*
5130042,Butte View High,71449,Sutter Union High,51,Sutter,64,39,*,*,20,*
2230076,Coulterville High,65532,Mariposa County Unified,22,Mariposa,23,14,*,*,*,*
2230084,Yosemite Park High,65532,Mariposa County Unified,22,Mariposa,4,*,*,*,*,*
4335428,William C. Overfelt High,69427,East Side Union High,43,Santa Clara,1494,*,24,152,1211,*
3737418,San Dieguito HS Academy,68346,San Dieguito Union High,37,San Diego,2091,1418,*,85,461,*
5130059,Valley Oak Continuation High,71399,Live Oak Unified,51,Sutter,47,25,*,*,19,*
108365,Segerstrom High,66670,Santa Ana Unified,30,Orange,2532,33,*,153,2288,*
100180,Mountain Oaks High,75606,Chawanakee Unified,20,Madera,31,17,*,*,*,*
3032919,Hillview High (Continuation),73643,Tustin Unified,30,Orange,303,29,*,*,253,*
100198,Golden Valley High,63529,Kern High,15,Kern,2828,155,138,55,2444,*
132969,Compton Early College High,73437,Compton Unified,19,Los Angeles,500,*,60,*,427,*
116590,Harmony Magnet Academy,75523,Porterville Unified,54,Tulare,524,121,*,16,359,*
3032943,Huntington Beach High,66548,Huntington Beach Union High,30,Orange,2997,1669,34,349,654,15
1230705,Arcata High,62687,Northern Humboldt Union High,12,Humboldt,972,676,14,22,140,32
108407,Eastside High,64246,Antelope Valley Union High,19,Los Angeles,2847,164,681,14,1787,*
5031802,Thomas Downey High,71175,Modesto City High,50,Stanislaus,2260,465,44,43,1523,11
3434370,Highlands High,76505,Twin Rivers Unified,34,Sacramento,817,167,118,42,408,*
1632140,Kings Lake Education Center,63891,Corcoran Joint Unified,16,Kings,63,*,*,*,53,*
1935246,Los Altos High,73445,Hacienda la Puente Unified,19,Los Angeles,1786,75,15,118,1528,*
5433230,Orosi High,71860,Cutler-Orosi Joint Unified,54,Tulare,1104,*,*,*,1058,*
133009,Brenkwitz High,61192,Hayward Unified,1,Alameda,274,15,23,*,194,*
1533843,Maricopa High,63628,Maricopa Unified,15,Kern,93,54,*,*,34,*
100255,Desert Mirage High,73676,Coachella Valley Unified,33,Riverside,2178,*,*,*,2143,25
116640,Dunlap Leadership Academy,62265,Kings Canyon Joint Unified,10,Fresno,104,39,*,*,55,*
124834,Sierra Academy of Expeditionary Learning,66357,Nevada Joint Union High,29,Nevada,203,142,*,*,28,*
3631017,Chino Hills High,67678,Chino Valley Unified,36,San Bernardino,2834,549,182,530,1218,12
4130738,Capuchino High,69047,San Mateo Union High,41,San Mateo,1219,212,15,140,586,*
1632207,Corcoran High,63891,Corcoran Joint Unified,16,Kings,895,49,31,*,807,*
3631058,Los Osos High,67652,Chaffey Joint Union High,36,San Bernardino,3083,970,196,554,1157,15
3631066,Big Bear High,67637,Bear Valley Unified,36,San Bernardino,707,406,*,*,262,*
124891,Alliance Renee and Meyer Luskin Academy High,64733,Los Angeles Unified,19,Los Angeles,522,*,103,*,411,*
3033057,Katella High,66431,Anaheim Union High,30,Orange,2781,110,45,73,2513,*
1034214,McLane High,62166,Fresno Unified,10,Fresno,2044,70,98,332,1500,*
4835302,Rio Vista High,67413,River Delta Joint Unified,34,Sacramento,404,176,15,*,179,*
3631082,Arroyo Valley High,67876,San Bernardino City Unified,36,San Bernardino,2907,34,143,32,2655,*
3631090,Middle College High,67876,San Bernardino City Unified,36,San Bernardino,280,11,21,*,235,*
731125,Campolindo High,61630,Acalanes Union High,7,Contra Costa,1421,892,12,211,132,*
1935352,Los Angeles Senior High,64733,Los Angeles Unified,19,Los Angeles,1175,18,123,28,983,*
100354,Hawthorne Math and Science Academy,64592,Hawthorne,19,Los Angeles,581,24,90,42,393,*
124933,PUC Early College Academy for Leaders and Scholars (ECALS),64733,Los Angeles Unified,19,Los Angeles,240,*,*,*,222,*
108555,Design Science Middle College High,62166,Fresno Unified,10,Fresno,274,45,*,39,168,*
124941,Alliance Margaret M. Bloomfield Technology Academy High,64733,Los Angeles Unified,19,Los Angeles,588,*,*,*,564,*
5031950,East Stanislaus High,75564,Oakdale Joint Unified,50,Stanislaus,119,61,*,*,54,*
3033115,John F. Kennedy High,66431,Anaheim Union High,30,Orange,2264,366,72,470,971,*
3737632,San Marcos High,73791,San Marcos Unified,37,San Diego,3645,1708,70,210,1402,13
2730018,Carmel Valley High,65987,Carmel Unified,27,Monterey,32,18,*,*,11,*
3336237,Polytechnic High,67215,Riverside Unified,33,Riverside,2664,701,139,39,1660,13
2730034,North Monterey County High,73825,North Monterey County Unified,27,Monterey,1343,135,*,*,1169,*
3631157,Colony High,67652,Chaffey Joint Union High,36,San Bernardino,2279,177,212,118,1652,14
124990,Urban Corps of San Diego County Charter,10264,Mono County Office of Education,26,Mono,368,18,41,*,296,*
1935428,Vista High,64774,Lynwood Unified,19,Los Angeles,217,*,11,*,202,*
100420,Vista Murrieta High,75200,Murrieta Valley Unified,33,Riverside,3759,1255,288,207,1401,16
1935436,Lynwood High,64774,Lynwood Unified,19,Los Angeles,2229,*,118,*,2092,*
125021,Minarets Charter High,75606,Chawanakee Unified,20,Madera,257,170,*,*,64,*
2730083,Portola-Butler Continuation High,66068,South Monterey County Joint Union High,27,Monterey,72,*,*,*,71,*
5630066,Frontier High,72546,Oxnard Union High,56,Ventura,437,23,*,*,402,*
3033206,Laguna Beach High,66555,Laguna Beach Unified,30,Orange,1078,796,15,59,122,*
125047,CDS Bishop High,76687,Bishop Unified,14,Inyo,17,*,*,*,*,*
2730109,Alisal High,66159,Salinas Union High,27,Monterey,3129,40,*,*,3057,*
108670,Leadership Public Schools - Hayward,61192,Hayward Unified,1,Alameda,616,16,17,66,406,*
2435204,Merced High,65789,Merced Union High,24,Merced,1889,294,154,136,1242,12
125062,Tierra Del Sol Continuation High,63529,Kern High,15,Kern,245,22,16,*,197,*
3434636,Hiram W. Johnson High,67439,Sacramento City Unified,34,Sacramento,1990,128,251,460,995,*
108688,Academy of the Redwoods,62810,Fortuna Union High,12,Humboldt,182,111,*,*,38,*
116889,KIPP San Jose Collegiate,69427,East Side Union High,43,Santa Clara,561,*,*,148,383,*
5630108,Conejo Valley High (Continuation),73759,Conejo Valley Unified,56,Ventura,162,48,*,*,98,*
2730141,Central Bay High (Continuation),73825,North Monterey County Unified,27,Monterey,81,*,*,*,77,*
1935519,Manual Arts Senior High,64733,Los Angeles Unified,19,Los Angeles,1211,*,164,*,1013,*
116897,Cosumnes Oaks High,67314,Elk Grove Unified,34,Sacramento,2123,372,294,486,456,*
5630116,Westlake High,73759,Conejo Valley Unified,56,Ventura,2248,1174,49,295,542,*
4335782,Palo Alto High,69641,Palo Alto Unified,43,Santa Clara,2141,895,32,735,277,*
100529,Cesar E. Chavez High,63412,Delano Joint Union High,15,Kern,1549,25,*,22,1342,*
4130993,Carlmont High,69062,Sequoia Union High,41,San Mateo,2343,1149,27,565,338,15
5630132,Oak Park High,73874,Oak Park Unified,56,Ventura,1450,834,19,321,179,*
2730166,Everett Alvarez High,66159,Salinas Union High,27,Monterey,2346,71,15,11,2177,*
133306,Orange Vista High,75242,Val Verde Unified,33,Riverside,2553,98,280,32,2031,*
2730174,Greenfield High,66068,South Monterey County Joint Union High,27,Monterey,1382,*,*,*,1359,*
1534155,McFarland High School Early College,73908,McFarland Unified,15,Kern,1018,15,*,*,989,*
2730190,Soledad High,75440,Soledad Unified,27,Monterey,1612,39,*,22,1513,*
1935568,John Marshall Senior High,64733,Los Angeles Unified,19,Los Angeles,2267,366,46,237,1380,*
108753,Pleasant Grove High,67314,Elk Grove Unified,34,Sacramento,2593,919,113,666,496,16
116954,Jack London Community Day,64733,Los Angeles Unified,19,Los Angeles,64,*,*,*,53,*
3631322,Bloomington High,67686,Colton Joint Unified,36,San Bernardino,2622,88,75,26,2402,*
5630173,Sierra High,72454,Fillmore Unified,56,Ventura,107,*,*,*,102,*
125153,Beach High-Intensive Learning Program,64725,Long Beach Unified,19,Los Angeles,66,*,12,*,44,*
125161,Castlemont High,61259,Oakland Unified,1,Alameda,871,11,219,19,585,*
108787,High Tech High Media Arts,68338,San Diego Unified,37,San Diego,411,104,19,11,225,*
731380,Clayton Valley Charter High,10074,Contra Costa County Office of Education,7,Contra Costa,2298,950,88,155,627,*
5630199,Oak View High,73874,Oak Park Unified,56,Ventura,42,32,*,*,*,*
100602,"Lennox Mathematics, Science and Technology Academy",64709,Lennox,19,Los Angeles,582,*,*,*,577,*
1337609,San Pasqual Valley High,63214,San Pasqual Valley Unified,13,Imperial,184,*,*,*,86,77
3434768,John F. Kennedy High,67439,Sacramento City Unified,34,Sacramento,2202,296,394,541,702,12
117010,Minarets High,75606,Chawanakee Unified,20,Madera,264,159,*,*,62,28
3033362,La Habra High,66514,Fullerton Joint Union High,30,Orange,2157,335,39,30,1678,*
133397,Granada High,61200,Livermore Valley Joint Unified,1,Alameda,2377,1131,30,211,698,*
133405,Portola High,73650,Irvine Unified,30,Orange,1631,337,22,937,168,*
330019,Independence High (Continuation),73981,Amador County Unified,3,Amador,99,67,*,*,22,*
4335907,Piedmont Hills High,69427,East Side Union High,43,Santa Clara,2041,101,32,1111,507,*
3131687,Confluence Continuation High,66894,Placer Union High,31,Placer,100,62,*,*,26,*
2132264,Marin Oaks High,65417,Novato Unified,21,Marin,106,18,*,*,69,*
3434792,Kinney High (Continuation),67330,Folsom-Cordova Unified,34,Sacramento,123,23,26,*,55,*
330027,Pine Grove Youth Conservation Camp,32276,California Education Authority (CEA) Headquarters,34,Sacramento,15,*,*,*,*,*
3336492,Ramona High,67215,Riverside Unified,33,Riverside,2276,251,87,35,1813,11
2132272,Novato High,65417,Novato Unified,21,Marin,1477,622,50,78,604,18
3737905,Santana High,68130,Grossmont Union High,37,San Diego,1856,1113,46,43,520,22
1132851,Willows High,62661,Willows Unified,11,Glenn,491,200,*,24,236,11
125237,Leadership Military Academy,10330,Riverside County Office of Education,33,Riverside,296,16,59,*,208,*
117051,Edward R. Roybal Learning Center,64733,Los Angeles Unified,19,Los Angeles,895,*,20,24,808,*
5630272,Pacific High,72652,Ventura Unified,56,Ventura,265,51,*,*,203,*
100677,High Tech LA,64733,Los Angeles Unified,19,Los Angeles,379,203,*,*,118,*
117069,Helen Bernstein High,64733,Los Angeles Unified,19,Los Angeles,704,17,18,14,629,*
108878,CHAMPS - Charter HS of Arts-Multimedia & Performing,64733,Los Angeles Unified,19,Los Angeles,605,259,39,14,259,*
4335949,Pioneer High,69666,San Jose Unified,43,Santa Clara,1606,654,42,192,543,*
3230034,Almanor High (Continuation),66969,Plumas Unified,32,Plumas,15,13,*,*,*,*
3230042,Beckwourth (Jim) High (Continuation),66969,Plumas Unified,32,Plumas,14,*,*,*,*,*
5630298,El Camino High,72652,Ventura Unified,56,Ventura,305,212,*,*,65,*
100701,MetWest High,61259,Oakland Unified,1,Alameda,255,20,47,17,157,*
108894,Alliance Judy Ivie Burton Technology Academy High,64733,Los Angeles Unified,19,Los Angeles,619,*,16,*,593,*
1935717,Joaquin Miller Career and Transition Center,64733,Los Angeles Unified,19,Los Angeles,221,40,*,*,145,*
3737962,Garfield High,68338,San Diego Unified,37,San Diego,333,11,20,*,288,*
936302,Ponderosa High,61853,El Dorado Union High,9,El Dorado,1920,1369,19,40,341,14
5630322,Santa Susana High,72603,Simi Valley Unified,56,Ventura,1004,437,14,169,294,*
108936,Alliance Collins Family College-Ready High,64733,Los Angeles Unified,19,Los Angeles,614,*,*,*,602,*
5630348,Foothill Technology High,72652,Ventura Unified,56,Ventura,1012,521,*,46,355,*
1935758,Millikan High,64725,Long Beach Unified,19,Los Angeles,3531,1135,301,196,1635,*
100750,Wallis Annenberg High,64733,Los Angeles Unified,19,Los Angeles,490,*,15,*,471,*
108944,Lighthouse Community Charter High,61259,Oakland Unified,1,Alameda,315,14,29,*,262,*
125328,Central Coast New Tech High,68759,Lucia Mar Unified,40,San Luis Obispo,303,179,*,*,91,*
108951,Arthur A. Benjamin Health Professions High,67439,Sacramento City Unified,34,Sacramento,220,22,45,28,103,*
5237151,Salisbury High (Continuation),71639,Red Bluff Joint Union High,52,Tehama,309,177,*,*,90,17
5630371,The High School at Moorpark College,73940,Moorpark Unified,56,Ventura,103,67,*,*,18,*
125351,Palm Canyon,73445,Hacienda la Puente Unified,19,Los Angeles,22,*,*,*,14,*
2730414,Carmel High,65987,Carmel Unified,27,Monterey,895,564,*,42,170,*
108977,Fowler Academy Community Day (9-12),62158,Fowler Unified,10,Fresno,5,*,*,*,*,*
5630389,Pacifica High,72546,Oxnard Union High,56,Ventura,3277,46,25,34,3071,*
100800,Central City Value,64733,Los Angeles Unified,19,Los Angeles,500,*,*,*,446,*
108993,Easton Community Day,76778,Washington Unified,10,Fresno,4,*,*,*,*,*
1935808,Mira Costa High,75333,Manhattan Beach Unified,19,Los Angeles,2489,1512,39,221,332,*
5835202,Marysville High,72736,Marysville Joint Unified,58,Yuba,1034,471,52,46,345,30
3131851,Colfax High,66894,Placer Union High,31,Placer,669,543,*,*,65,*
5237201,Red Bluff High,71639,Red Bluff Joint Union High,52,Tehama,1722,982,16,16,592,47
117218,Dozier-Libbey Medical High,61648,Antioch Unified,7,Contra Costa,765,94,138,54,366,*
3631587,Boys Republic High,67678,Chino Valley Unified,36,San Bernardino,206,11,58,*,132,*
3033578,La Quinta High,66522,Garden Grove Unified,30,Orange,2198,69,*,1743,325,*
125419,Adelanto High,67934,Victor Valley Union High,36,San Bernardino,2093,87,430,*,1445,*
125427,Calero High,69427,East Side Union High,43,Santa Clara,197,*,*,*,171,*
1935865,James Monroe High,64733,Los Angeles Unified,19,Los Angeles,2068,65,64,27,1835,*
133629,Hayward High,61192,Hayward Unified,1,Alameda,1757,99,223,86,1150,*
731646,College Park High,61754,Mt. Diablo Unified,7,Contra Costa,2125,872,45,205,615,*
4336137,Prospect High,69401,Campbell Union High,43,Santa Clara,1658,396,58,366,628,*
3033610,La Vista High (Continuation),66514,Fullerton Joint Union High,30,Orange,698,33,12,18,619,*
125450,Indian Springs High,67876,San Bernardino City Unified,36,San Bernardino,2120,54,209,51,1762,*
4934154,Montgomery High,70920,Santa Rosa High,49,Sonoma,1682,588,46,68,857,22
4532750,Enterprise High,70136,Shasta Union High,45,Shasta,1193,615,30,112,260,43
1935899,Canyon Oaks High,64790,Monrovia Unified,19,Los Angeles,44,*,*,*,37,*
3934759,Tokay High,68585,Lodi Unified,39,San Joaquin,2158,477,19,219,1328,*
1436203,Owens Valley High,63297,Owens Valley Unified,14,Inyo,21,*,*,*,*,*
3934767,Liberty High,68585,Lodi Unified,39,San Joaquin,166,40,*,*,104,*
1935923,Monrovia High,64790,Monrovia Unified,19,Los Angeles,1617,309,87,60,1041,*
109108,Citrus Hill High,75242,Val Verde Unified,33,Riverside,1909,78,98,14,1673,*
5139001,Yuba City High,71464,Yuba City Unified,51,Sutter,2065,569,45,229,1059,*
125500,Grand Terrace High School at the Ray Abril Jr. Educational Complex,67686,Colton Joint Unified,36,San Bernardino,1971,240,191,55,1416,*
3934783,Lodi High,68585,Lodi Unified,39,San Joaquin,2211,895,21,77,1091,11
3730017,Carlsbad Village Academy,73551,Carlsbad Unified,37,San Diego,119,37,*,*,74,*
2132587,Redwood High,65482,Tamalpais Union High,21,Marin,2019,1392,26,99,313,12
2837102,Saint Helena High,66290,Saint Helena Unified,28,Napa,497,238,*,*,246,*
3730033,Torrey Pines High,68346,San Dieguito Union High,37,San Diego,2628,1515,22,514,407,*
3738226,Sweetwater High,68411,Sweetwater Union High,37,San Diego,2951,124,35,24,2368,16
133751,Edward P. Duplex,72769,Wheatland Union High,58,Yuba,84,42,*,*,31,*
3738234,Montgomery Senior High,68411,Sweetwater Union High,37,San Diego,1881,117,36,22,1542,12
1935998,Montebello High,64808,Montebello Unified,19,Los Angeles,2349,40,12,11,2263,*
3730058,San Pasqual High,68106,Escondido Union High,37,San Diego,2217,551,43,70,1457,*
3730066,Valhalla High,68130,Grossmont Union High,37,San Diego,2275,1469,67,74,540,13
3631769,Buena Vista Continuation High,67678,Chino Valley Unified,36,San Bernardino,252,13,14,*,217,*
3730074,Mt. Carmel High,68296,Poway Unified,37,San Diego,1916,731,75,274,399,*
133793,Accelerated Charter High,72249,Tulare Joint Union High,54,Tulare,320,27,15,*,270,*
4836003,Sem Yeto Continuation High,70540,Fairfield-Suisun Unified,48,Solano,431,30,100,*,253,*
1936046,Morningside High,64634,Inglewood Unified,19,Los Angeles,659,*,191,*,450,*
125617,ACE Charter High,69427,East Side Union High,43,Santa Clara,440,*,*,*,426,*
4033205,Lopez Continuation High,68759,Lucia Mar Unified,40,San Luis Obispo,222,93,*,*,122,*
3033784,Loara High,66431,Anaheim Union High,30,Orange,1941,110,29,161,1550,*
731836,Concord High,61754,Mt. Diablo Unified,7,Contra Costa,1255,325,39,68,668,*
125633,California Heritage Youthbuild Academy II,10538,Trinity County Office of Education,53,Trinity,132,75,*,*,29,*
133835,Ellen Ochoa Prep Academy,64527,El Rancho Unified,19,Los Angeles,240,*,*,*,233,*
2935500,Nevada Union High,66357,Nevada Joint Union High,29,Nevada,1548,1138,17,20,238,25
3730124,Southwest Senior High,68411,Sweetwater Union High,37,San Diego,1649,90,18,*,1471,*
5032651,Hughson High,75549,Hughson Unified,50,Stanislaus,789,371,*,*,392,*
1936079,Mt. Olive Innovation and Technology High,64469,Duarte Unified,19,Los Angeles,99,11,*,*,76,*
5032669,Dickens (Billy Joe) High (Continuation),75549,Hughson Unified,50,Stanislaus,55,19,*,*,36,*
1936103,John Muir High,64881,Pasadena Unified,19,Los Angeles,969,47,239,*,647,*
125674,Condor High,72546,Oxnard Union High,56,Ventura,430,41,*,*,364,*
133868,Rise Kohyang High,64733,Los Angeles Unified,19,Los Angeles,448,*,23,131,265,*
1034990,Parlier High,62364,Parlier Unified,10,Fresno,1065,*,*,*,1059,*
3336955,Abraham Lincoln Continuation,67215,Riverside Unified,33,Riverside,276,21,23,*,222,*
3730173,Serra High,68338,San Diego Unified,37,San Diego,1447,429,106,118,562,*
5434113,Porterville High,75523,Porterville Unified,54,Tulare,2208,230,*,26,1847,56
3730181,Mira Mesa High,68338,San Diego Unified,37,San Diego,2394,263,94,535,580,*
133900,Prepa Tec Los Angeles High,76992,SBE - Prepa Tec Los Angeles High,19,Los Angeles,326,*,*,*,320,*
125716,Fremont High,61259,Oakland Unified,1,Alameda,964,23,184,43,655,*
1936160,Nathaniel Narbonne Senior High,64733,Los Angeles Unified,19,Los Angeles,2019,71,405,58,1331,*
125732,Hillcrest High,66977,Alvord Unified,33,Riverside,1826,310,106,105,1197,*
3730215,Twin Oaks High,73791,San Marcos Unified,37,San Diego,215,42,*,*,154,*
101162,Pioneer High,72710,Woodland Joint Unified,57,Yolo,1662,301,13,117,1140,*
1534775,North High,63529,Kern High,15,Kern,2181,1077,125,*,886,23
3033917,Los Alamitos High,73924,Los Alamitos Unified,30,Orange,3255,1479,93,427,891,*
133959,Unity Middle College High,10306,Orange County Department of Education,30,Orange,105,17,*,*,74,*
5630793,Buena High,72652,Ventura Unified,56,Ventura,1930,664,16,64,1088,*
101196,ICEF View Park Preparatory High,64733,Los Angeles Unified,19,Los Angeles,448,*,417,*,24,*
3033933,Los Amigos High,66522,Garden Grove Unified,30,Orange,1757,38,*,246,1439,*
117598,Alliance Piera Barbaglia Shaheen Health Services Academy,64733,Los Angeles Unified,19,Los Angeles,510,*,72,*,425,*
133983,Ednovate - Legacy College Prep.,10306,Orange County Department of Education,30,Orange,362,*,*,*,345,*
1330018,Bill M. Manes High,63214,San Pasqual Valley Unified,13,Imperial,25,*,*,*,*,15
1936228,Nogales High,73452,Rowland Unified,19,Los Angeles,1868,30,16,55,1629,*
117606,Alliance Leichtman-Levine Family Foundation Environmental Science High,64733,Los Angeles Unified,19,Los Angeles,392,*,*,*,340,*
1035112,Pershing Continuation High,73965,Central Unified,10,Fresno,148,22,22,*,96,*
3935103,Manteca High,68593,Manteca Unified,39,San Joaquin,1844,379,93,117,1108,13
2730885,Gonzales High,75473,Gonzales Unified,27,Monterey,885,14,*,*,857,*
109447,Santee Education Complex,64733,Los Angeles Unified,19,Los Angeles,1822,20,110,*,1686,*
3935111,Calla High,68593,Manteca Unified,39,San Joaquin,230,39,18,*,152,*
3730314,University City High,68338,San Diego Unified,37,San Diego,1759,615,51,196,677,*
109454,South East High,64733,Los Angeles Unified,19,Los Angeles,2016,16,48,*,1948,*
1936277,North High,65060,Torrance Unified,19,Los Angeles,1818,195,130,434,823,*
109462,Maywood Academy High,64733,Los Angeles Unified,19,Los Angeles,1121,11,*,*,1092,*
3435419,C. K. McClatchy High,67439,Sacramento City Unified,34,Sacramento,2411,523,233,368,1030,*
125864,Ednovate - USC Hybrid High College Prep,64733,Los Angeles Unified,19,Los Angeles,559,*,73,*,472,*
3337128,Alvord Continuation High,66977,Alvord Unified,33,Riverside,238,*,13,*,206,*
3337136,Rubidoux High,67090,Jurupa Unified,33,Riverside,1652,48,41,*,1538,*
117689,Sentinel High,75572,Waterford Unified,50,Stanislaus,46,16,*,*,28,*
