SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,EnrollmentTotal,EnrollmentWhite,EnrollmentBlack,EnrollmentAsian,EnrollmentHispanic,EnrollmentNative
3735958,Montecito High (Continuation),68304,Ramona City Unified,37,San Diego,131,58,*,*,62,*
3637659,Valley View High (Continuation),67652,Chaffey Joint Union High,36,San Bernardino,560,46,44,*,443,*
5235106,Los Molinos High,71571,Los Molinos Unified,52,Tehama,231,98,*,*,118,*
5530019,Dario Cassina High,72389,Sonora Union High,55,Tuolumne,83,49,*,*,22,*
3735974,Ramona High,68304,Ramona City Unified,37,San Diego,1576,818,*,13,639,13
139691,Matilda Torres High,65243,Madera Unified,20,Madera,959,49,*,*,884,*
4735403,Mt. Shasta High,70466,Siskiyou Union High,47,Siskiyou,280,190,*,*,45,*
5530043,Theodore Bird High,72389,Sonora Union High,55,Tuolumne,106,84,*,*,13,*
5530050,Long Barn High,72413,Summerville Union High,55,Tuolumne,20,16,*,*,*,*
3432903,Estrellita Continuation High,67355,Galt Joint Union High,34,Sacramento,78,22,*,*,51,*
4235727,Santa Barbara Senior High,76786,Santa Barbara Unified,42,Santa Barbara,2216,771,26,30,1316,*
4432340,Harbor High,69823,Santa Cruz City High,44,Santa Cruz,1030,384,13,30,552,*
631259,Colusa High,61598,Colusa Unified,6,Colusa,427,100,*,*,307,*
5530076,Tioga High,75184,Big Oak Flat-Groveland Unified,55,Tuolumne,65,48,*,*,*,*
1933795,Ulysses S. Grant Senior High,64733,Los Angeles Unified,19,Los Angeles,1972,759,63,45,1059,*
5530084,Don Pedro High,75184,Big Oak Flat-Groveland Unified,55,Tuolumne,60,43,*,*,*,*
5530092,South Fork High,72413,Summerville Union High,55,Tuolumne,15,12,*,*,*,*
5530100,Cold Springs High,72413,Summerville Union High,55,Tuolumne,25,16,*,*,*,*
106997,Orthopaedic Hospital,64733,Los Angeles Unified,19,Los Angeles,798,*,15,14,749,*
107003,Northridge Academy High,64733,Los Angeles Unified,19,Los Angeles,989,128,29,41,702,*
3990025,N.A. Chaderjian High,32276,California Education Authority (CEA) Headquarters,34,Sacramento,220,22,50,*,140,*
737809,Ygnacio Valley High,61754,Mt. Diablo Unified,7,Contra Costa,1323,105,40,41,1044,*
107029,San Diego International Studies,68338,San Diego Unified,37,San Diego,1196,306,62,20,710,*
1933852,Alexander Hamilton Senior High,64733,Los Angeles Unified,19,Los Angeles,2611,404,675,87,1365,*
3334687,Nueva Vista Continuation High,67090,Jurupa Unified,33,Riverside,351,14,*,*,319,*
4334116,Los Altos High,69609,Mountain View-Los Altos Union High,43,Santa Clara,2265,815,22,617,633,*
115238,ARISE High,61259,Oakland Unified,1,Alameda,397,*,*,*,369,*
139816,Griffin Academy High,70581,Vallejo City Unified,48,Solano,110,*,31,*,47,*
107052,San Diego Business/Leadership,68338,San Diego Unified,37,San Diego,551,20,51,*,456,*
115253,Discovery Charter Preparatory #2,64733,Los Angeles Unified,19,Los Angeles,240,*,*,*,232,*
4137535,Terra Nova High,68924,Jefferson Union High,41,San Mateo,762,285,*,49,220,*
139840,West Park High,66928,Roseville Joint Union High,31,Placer,596,292,24,62,92,*
5530175,Mountain High,72413,Summerville Union High,55,Tuolumne,15,14,*,*,*,*
2433605,Livingston High,65789,Merced Union High,24,Merced,1236,69,*,127,1019,*
107078,Kearny Digital Media & Design,68338,San Diego Unified,37,San Diego,363,50,40,33,188,*
4530762,North Valley High,69856,Anderson Union High,45,Shasta,162,104,*,*,31,*
1933902,William S. Hart High,65136,William S. Hart Union High,19,Los Angeles,2218,759,32,59,1222,*
107086,Kearny School of Biomedical Science and Technology,68338,San Diego Unified,37,San Diego,379,42,26,66,190,*
107094,Kearny College Connections,68338,San Diego Unified,37,San Diego,363,36,48,45,183,*
1335900,Imperial High,63164,Imperial Unified,13,Imperial,1372,158,15,12,1153,*
107102,Kearny Eng Innov & Design,68338,San Diego Unified,37,San Diego,331,55,21,32,179,*
107110,Six Rivers Charter High,62687,Northern Humboldt Union High,12,Humboldt,112,79,*,*,14,*
836205,Sunset High,61820,Del Norte County Unified,8,Del Norte,141,80,*,*,30,15
