,SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName
134841,134841,Orange County Workforce Innovation High,10306,Orange County Department of Education,30,Orange
2133692,2133692,Tamalpais High,65482,Tamalpais Union High,21,Marin
2830016,2830016,Vintage High,66266,Napa Valley Unified,28,Napa
4738753,4738753,Weed High,70466,Siskiyou Union High,47,Siskiyou
4132551,4132551,El Camino High,69070,South San Francisco Unified,41,San Mateo
134858,134858,California School of the Arts - San Gabriel Valley,64469,Duarte Unified,19,Los Angeles
1732304,1732304,Clear Lake High,64030,Lakeport Unified,17,Lake
102103,102103,Jordan (June) School for Equity,68478,San Francisco Unified,38,San Francisco
3731163,3731163,Carlsbad Seaside Academy,73551,Carlsbad Unified,37,San Diego
134890,134890,San Diego Workforce Innovation High,67983,Borrego Springs Unified,37,San Diego
2830065,2830065,Palisades High (Continuation),66241,Calistoga Joint Unified,28,Napa
2330355,2330355,Lighthouse Community Day,65565,Fort Bragg Unified,23,Mendocino
1937143,1937143,Redondo Union High,75341,Redondo Beach Unified,19,Los Angeles
118521,118521,Centinela Valley Independent Study,64352,Centinela Valley Union High,19,Los Angeles
5631742,5631742,Channel Islands High,72546,Oxnard Union High,56,Ventura
5730049,5730049,Wolfskill High,72702,Winters Joint Unified,57,Yolo
126722,126722,East Palo Alto Academy,69062,Sequoia Union High,41,San Mateo
5730056,5730056,Madison Community High,72686,Esparto Unified,57,Yolo
134924,134924,Berkeley Technology Academy,61143,Berkeley Unified,1,Alameda
732941,732941,El Cerrito High,61796,West Contra Costa Unified,7,Contra Costa
3731213,3731213,Clairemont High,68338,San Diego Unified,37,San Diego
1937176,1937176,Reid High,64725,Long Beach Unified,19,Los Angeles
3034907,3034907,Back Bay High,66597,Newport-Mesa Unified,30,Orange
126748,126748,LPS Oakland R & D Campus,61259,Oakland Unified,1,Alameda
2830115,2830115,New Technology High,66266,Napa Valley Unified,28,Napa
3731247,3731247,High Tech High,68338,San Diego Unified,37,San Diego
4935482,4935482,Rancho Cotate High,73882,Cotati-Rohnert Park Unified,49,Sonoma
118588,118588,Alain Leroy Locke College Preparatory Academy,64733,Los Angeles Unified,19,Los Angeles
1036094,1036094,Sanger High,62414,Sanger Unified,10,Fresno
3731262,3731262,Steele Canyon High,68130,Grossmont Union High,37,San Diego
2830149,2830149,Valley Oak High,66266,Napa Valley Unified,28,Napa
5631817,5631817,Chaparral High,72520,Ojai Unified,56,Ventura
1937226,1937226,Reseda Charter High,64733,Los Angeles Unified,19,Los Angeles
3034956,3034956,Mission Viejo High,73635,Saddleback Valley Unified,30,Orange
937805,937805,South Tahoe High,61903,Lake Tahoe Unified,9,El Dorado
102236,102236,Inderkum High,75283,Natomas Unified,34,Sacramento
3731304,3731304,MAAC Community Charter,68411,Sweetwater Union High,37,San Diego
3633005,3633005,Eisenhower Senior High,67850,Rialto Unified,36,San Bernardino
3731312,3731312,Oak Glen High,75614,Valley Center-Pauma Unified,37,San Diego
3034998,3034998,Lorin Griset Academy,66670,Santa Ana Unified,30,Orange
110460,110460,Core Learning Academy at Conley-Caraballo High,61242,New Haven Unified,1,Alameda
118653,118653,Ralph J. Bunche High,61259,Oakland Unified,1,Alameda
634758,634758,Maxwell Sr High,61606,Maxwell Unified,6,Colusa
102285,102285,Pioneer Valley High,69310,Santa Maria Joint Union High,42,Santa Barbara
110478,110478,Alternative Learning Academy at Conley-Caraballo High,61242,New Haven Unified,1,Alameda
102293,102293,Foresthill High,66894,Placer Union High,31,Placer
126870,126870,San Joaquin Valley High,62364,Parlier Unified,10,Fresno
135061,135061,Alvord Alternative Continuation High,66977,Alvord Unified,33,Riverside
110494,110494,Bidwell Continuation High,61648,Antioch Unified,7,Contra Costa
1535905,1535905,Taft Union High,63818,Taft Union High,15,Kern
3035045,3035045,Newport Harbor High,66597,Newport-Mesa Unified,30,Orange
1331115,1331115,Imperial Ave. Holbrook High,63164,Imperial Unified,13,Imperial
135087,135087,Opportunity Youth Academy,10439,Santa Clara County Office of Education,43,Santa Clara
4935607,4935607,Ridgway High (Continuation),70920,Santa Rosa High,49,Sonoma
1634245,1634245,Earl F. Johnson High (Continuation),63925,Hanford Joint Union High,16,Kings
4132817,4132817,Half Moon Bay High,68890,Cabrillo Unified,41,San Mateo
3330008,3330008,La Sierra High,66977,Alvord Unified,33,Riverside
3035102,3035102,University High,73650,Irvine Unified,30,Orange
102368,102368,Ann Sobrato High,69583,Morgan Hill Unified,43,Santa Clara
3330024,3330024,Arlington High,67215,Riverside Unified,33,Riverside
3330032,3330032,La Familia Continuation High,73676,Coachella Valley Unified,33,Riverside
2535409,2535409,Modoc High,73585,Modoc Joint Unified,25,Modoc
2134005,2134005,Terra Linda High,65466,San Rafael City High,21,Marin
102392,102392,Millennium Charter,75499,Tracy Joint Unified,39,San Joaquin
2035707,2035707,Madera High,65243,Madera Unified,20,Madera
110593,110593,James C. Enochs High,71175,Modesto City High,50,Stanislaus
5738505,5738505,Winters High,72702,Winters Joint Unified,57,Yolo
118794,118794,Murrieta Mesa High,75200,Murrieta Valley Unified,33,Riverside
1232909,1232909,Ferndale High,75374,Ferndale Unified,12,Humboldt
1937424,1937424,Theodore Roosevelt Senior High,64733,Los Angeles Unified,19,Los Angeles
3330065,3330065,Alessandro High,67082,Hemet Unified,33,Riverside
118802,118802,Citrus Valley High,67843,Redlands Unified,36,San Bernardino
5435409,5435409,Tulare Union High,72249,Tulare Joint Union High,54,Tulare
5632021,5632021,Fillmore Senior High,72454,Fillmore Unified,56,Ventura
3731478,3731478,Coronado High,68031,Coronado Unified,37,San Diego
3731486,3731486,Elite Academy,68130,Grossmont Union High,37,San Diego
102434,102434,Animo South Los Angeles Charter,64733,Los Angeles Unified,19,Los Angeles
110627,110627,Eleanor Roosevelt High,67033,Corona-Norco Unified,33,Riverside
4231205,4231205,Cuyama Valley High,75010,Cuyama Joint Unified,42,Santa Barbara
3731502,3731502,San Ysidro High,68411,Sweetwater Union High,37,San Diego
102459,102459,Golden Valley High,65136,William S. Hart Union High,19,Los Angeles
430140,430140,Oroville High Community Day,61515,Oroville Union High,4,Butte
3330115,3330115,Ortega High,75176,Lake Elsinore Unified,33,Riverside
118851,118851,King-Chavez Community High,68338,San Diego Unified,37,San Diego
733253,733253,Greenwood Academy,61796,West Contra Costa Unified,7,Contra Costa
3731528,3731528,Westview High,68296,Poway Unified,37,San Diego
1937481,1937481,Rosemead High,64519,El Monte Union High,19,Los Angeles
5435466,5435466,Tulare Western High,72249,Tulare Joint Union High,54,Tulare
102475,102475,West Ranch High,65136,William S. Hart Union High,19,Los Angeles
135244,135244,Mission San Jose High,61176,Fremont Unified,1,Alameda
110668,110668,Frida Kahlo High,64733,Los Angeles Unified,19,Los Angeles
3731536,3731536,Grossmont Middle College High,68130,Grossmont Union High,37,San Diego
1634401,1634401,Hanford High,63925,Hanford Joint Union High,16,Kings
4337762,4337762,Saratoga High,69534,Los Gatos-Saratoga Union High,43,Santa Clara
118885,118885,Shadow Hills High,67058,Desert Sands Unified,33,Riverside
135269,135269,Oxford Day Academy,10413,San Mateo County Office of Education,41,San Mateo
3330172,3330172,Perris Lake High (Continuation),67207,Perris Union High,33,Riverside
1536135,1536135,Tehachapi High,63826,Tehachapi Unified,15,Kern
118919,118919,Sierra Pacific High,63925,Hanford Joint Union High,16,Kings
4739207,4739207,Yreka High,70516,Yreka Union High,47,Siskiyou
2732170,2732170,King City High,66068,South Monterey County Joint Union High,27,Monterey
3633302,3633302,Fontana High,67710,Fontana Unified,36,San Bernardino
135319,135319,Mt. Eden High,61192,Hayward Unified,1,Alameda
118935,118935,Del Norte High,68296,Poway Unified,37,San Diego
1331354,1331354,Desert Valley High (Continuation),63081,Brawley Union High,13,Imperial
1937564,1937564,John A. Rowland High,73452,Rowland Unified,19,Los Angeles
118950,118950,Sherman Thomas Charter High,65243,Madera Unified,20,Madera
3330214,3330214,Banning High,66985,Banning Unified,33,Riverside
110759,110759,John F. Kennedy High,67033,Corona-Norco Unified,33,Riverside
3436714,3436714,Rio Americano High,67447,San Juan Unified,34,Sacramento
3731627,3731627,Otay Ranch Senior High,68411,Sweetwater Union High,37,San Diego
3330222,3330222,New Horizon High,66985,Banning Unified,33,Riverside
4935862,4935862,San Antonio High (Continuation),70862,Petaluma Joint Union High,49,Sonoma
1937598,1937598,Chaparral High (Continuation),64329,Bonita Unified,19,Los Angeles
3633351,3633351,Green Valley High,67959,Yucaipa-Calimesa Joint Unified,36,San Bernardino
1331404,1331404,Brawley Union High,63081,Brawley Union High,13,Imperial
4133070,4133070,Hillsdale High,69047,San Mateo Union High,41,San Mateo
1937622,1937622,San Fernando Senior High,64733,Los Angeles Unified,19,Los Angeles
2732253,2732253,Central Coast High,66092,Monterey Peninsula Unified,27,Monterey
119016,119016,Da Vinci Science,76869,Wiseburn Unified,19,Los Angeles
127209,127209,Insight School of California,63628,Maricopa Unified,15,Kern
3731692,3731692,El Cajon Valley High,68130,Grossmont Union High,37,San Diego
4337903,4337903,Silver Creek High,69427,East Side Union High,43,Santa Clara
127217,127217,Alliance Alice M. Baxter College-Ready High,64733,Los Angeles Unified,19,Los Angeles
4034807,4034807,Morro Bay High,68809,San Luis Coastal Unified,40,San Luis Obispo
930040,930040,Mt. Tallac High,61903,Lake Tahoe Unified,9,El Dorado
119040,119040,John C. Kimball High,75499,Tracy Joint Unified,39,San Joaquin
127233,127233,Young Adult Program,61176,Fremont Unified,1,Alameda
135426,135426,Bridgepoint High (Continuation),61234,Newark Unified,1,Alameda
127241,127241,Del Lago Academy - Campus of Applied Science,68106,Escondido Union High,37,San Diego
3830031,3830031,Wells (Ida B.) High,68478,San Francisco Unified,38,San Francisco
3035409,3035409,Orange High,66621,Orange Unified,30,Orange
4231452,4231452,Delta High,69310,Santa Maria Joint Union High,42,Santa Barbara
1937697,1937697,San Gabriel High,75713,Alhambra Unified,19,Los Angeles
2134310,2134310,Tomales High,73361,Shoreline Unified,21,Marin
119081,119081,Bishop Independent Study,76687,Bishop Unified,14,Inyo
3830064,3830064,Downtown High,68478,San Francisco Unified,38,San Francisco
5738802,5738802,Woodland Senior High,72710,Woodland Joint Unified,57,Yolo
930099,930099,Divide High,73783,Black Oak Mine Unified,9,El Dorado
5738810,5738810,Cache Creek High (Continuation),72710,Woodland Joint Unified,57,Yolo
5337407,5337407,Hayfork High,75028,Mountain Valley Unified,53,Trinity
3330370,3330370,Temecula Valley High,75192,Temecula Valley Unified,33,Riverside
1536325,1536325,Vista Continuation High,63529,Kern High,15,Kern
1937739,1937739,San Dimas High,64329,Bonita Unified,19,Los Angeles
119115,119115,Oak Hills High,75044,Hesperia Unified,36,San Bernardino
5337423,5337423,Southern Trinity High,73833,Southern Trinity Joint Unified,53,Trinity
930131,930131,Rite of Passage,10090,El Dorado County Office of Education,9,El Dorado
1937747,1937747,Ron Hockwalt Academies (Continuation),73460,Walnut Valley Unified,19,Los Angeles
3330388,3330388,Palm Desert High,67058,Desert Sands Unified,33,Riverside
127316,127316,Rancho Mirage High,67173,Palm Springs Unified,33,Riverside
1937754,1937754,San Marino High,64964,San Marino Unified,19,Los Angeles
119131,119131,Liberty Ranch High,67355,Galt Joint Union High,34,Sacramento
3330396,3330396,Canyon Springs High,67124,Moreno Valley Unified,33,Riverside
3731809,3731809,El Capitan High,68130,Grossmont Union High,37,San Diego
135525,135525,Richard D. Browning High,64725,Long Beach Unified,19,Los Angeles
3330412,3330412,Jurupa Valley High,67090,Jurupa Unified,33,Riverside
135533,135533,Redwood Continuation High,61150,Castro Valley Unified,1,Alameda
5337456,5337456,Trinity High,76513,Trinity Alps Unified,53,Trinity
635250,635250,Pierce High,61614,Pierce Joint Unified,6,Colusa
930164,930164,Union Mine High,61853,El Dorado Union High,9,El Dorado
110965,110965,Madera South High,65243,Madera Unified,20,Madera
4731253,4731253,Butte Valley High,73684,Butte Valley Unified,47,Siskiyou
1036672,1036672,Selma High,62430,Selma Unified,10,Fresno
3330438,3330438,Valley View High,67124,Moreno Valley Unified,33,Riverside
127373,127373,El Capitan High,65789,Merced Union High,24,Merced
3330446,3330446,Centennial High,67033,Corona-Norco Unified,33,Riverside
2134419,2134419,San Andreas High (Continuation),65482,Tamalpais Union High,21,Marin
127381,127381,"Ernest S. McBride, Sr. High",64725,Long Beach Unified,19,Los Angeles
110999,110999,Frontier High,63529,Kern High,15,Kern
135582,135582,LA's Promise Charter High #1,10199,Los Angeles County Office of Education,19,Los Angeles
930214,930214,EDUHSD Virtual Academy at Shenandoah,61853,El Dorado Union High,9,El Dorado
4837803,4837803,Vacaville High,70573,Vacaville Unified,48,Solano
1937838,1937838,San Pedro Senior High,64733,Los Angeles Unified,19,Los Angeles
3330479,3330479,Beaumont Senior High,66993,Beaumont Unified,33,Riverside
102830,102830,Wilmer Amina Carter High,67850,Rialto Unified,36,San Bernardino
3436979,3436979,Rio Linda High,76505,Twin Rivers Unified,34,Sacramento
3830197,3830197,Independence High,68478,San Francisco Unified,38,San Francisco
3330487,3330487,Temescal Canyon High,75176,Lake Elsinore Unified,33,Riverside
1536440,1536440,Wasco High,63859,Wasco Union High,15,Kern
3035581,3035581,Pacifica High,66522,Garden Grove Unified,30,Orange
3830205,3830205,Wallenberg (Raoul) Traditional High,68478,San Francisco Unified,38,San Francisco
3330495,3330495,Rancho Vista High,75192,Temecula Valley Unified,33,Riverside
127423,127423,Sage Creek High,73551,Carlsbad Unified,37,San Diego
5435839,5435839,Sequoia High,72256,Visalia Unified,54,Tulare
3330503,3330503,Academy of Innovation,67082,Hemet Unified,33,Riverside
1233352,1233352,East High (Continuation),62810,Fortuna Union High,12,Humboldt
135632,135632,WISH Academy High,64733,Los Angeles Unified,19,Los Angeles
5132758,5132758,East Nicolaus High,71373,East Nicolaus Joint Union High,51,Sutter
102871,102871,Arnold O. Beckman High,73643,Tustin Unified,30,Orange
733659,733659,John F. Kennedy High,61796,West Contra Costa Unified,7,Contra Costa
3330529,3330529,Murrieta Valley High,75200,Murrieta Valley Unified,33,Riverside
3330537,3330537,West Valley High,67082,Hemet Unified,33,Riverside
3830254,3830254,Burton (Phillip and Sala) Academic High,68478,San Francisco Unified,38,San Francisco
1937903,1937903,Santa Fe High,65128,Whittier Union High,19,Los Angeles
3330552,3330552,Rancho Verde High,75242,Val Verde Unified,33,Riverside
1233402,1233402,Fortuna Union High,62810,Fortuna Union High,12,Humboldt
3330560,3330560,Val Verde High,75242,Val Verde Unified,33,Riverside
102913,102913,Middle College High,64733,Los Angeles Unified,19,Los Angeles
102921,102921,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,64733,Los Angeles Unified,19,Los Angeles
3830288,3830288,Balboa High,68478,San Francisco Unified,38,San Francisco
4133393,4133393,Jefferson High,68924,Jefferson Union High,41,San Mateo
3330578,3330578,Cathedral City High,67173,Palm Springs Unified,33,Riverside
3330586,3330586,Lee V. Pollard High,67033,Corona-Norco Unified,33,Riverside
733725,733725,Las Lomas High,61630,Acalanes Union High,7,Contra Costa
4330015,4330015,Yerba Buena High,69427,East Side Union High,43,Santa Clara
135715,135715,Ednovate - Esperanza College Prep,64733,Los Angeles Unified,19,Los Angeles
4330023,4330023,Santa Teresa High,69427,East Side Union High,43,Santa Clara
1430057,1430057,Palisade Glacier High (Continuation),76687,Bishop Unified,14,Inyo
127530,127530,KIPP San Francisco College Preparatory,68478,San Francisco Unified,38,San Francisco
135723,135723,Ednovate - Brio College Prep,64733,Los Angeles Unified,19,Los Angeles
4231726,4231726,Dos Pueblos Senior High,76786,Santa Barbara Unified,42,Santa Barbara
4330031,4330031,Independence High,69427,East Side Union High,43,Santa Clara
3035706,3035706,Rancho Alamitos High,66522,Garden Grove Unified,30,Orange
119354,119354,Independence High,75457,Paso Robles Joint Unified,40,San Luis Obispo
127548,127548,Summit Public School: Shasta,68924,Jefferson Union High,41,San Mateo
3732039,3732039,Alta Vista High (Continuation),68452,Vista Unified,37,San Diego
1938000,1938000,Santa Monica High,64980,Santa Monica-Malibu Unified,19,Los Angeles
3732054,3732054,Valley High (Continuation),68106,Escondido Union High,37,San Diego
111195,111195,Classical Academy High,68106,Escondido Union High,37,San Diego
135772,135772,Meraki High,67447,San Juan Unified,34,Sacramento
1536606,1536606,West High,63529,Kern High,15,Kern
3732062,3732062,Escondido High,68106,Escondido Union High,37,San Diego
4330080,4330080,Gunderson High,69666,San Jose Unified,43,Santa Clara
3035748,3035748,Richland Continuation High,66621,Orange Unified,30,Orange
119404,119404,Yorba Linda High,66647,Placentia-Yorba Linda Unified,30,Orange
3330669,3330669,La Quinta High,67058,Desert Sands Unified,33,Riverside
3830387,3830387,"Asawa (Ruth) SF Sch of the Arts, A Public School",68478,San Francisco Unified,38,San Francisco
3330677,3330677,Raincross High (Continuation),67215,Riverside Unified,33,Riverside
3830403,3830403,Marshall (Thurgood) High,68478,San Francisco Unified,38,San Francisco
1995398,1995398,Highland High,64246,Antelope Valley Union High,19,Los Angeles
135814,135814,Peninsula High (Continuation),69047,San Mateo Union High,41,San Mateo
1036938,1036938,Sierra High,75275,Sierra Unified,10,Fresno
3830411,3830411,Leadership High,68478,San Francisco Unified,38,San Francisco
4330122,4330122,Santa Clara High,69674,Santa Clara Unified,43,Santa Clara
3330701,3330701,Santiago High,67033,Corona-Norco Unified,33,Riverside
1995406,1995406,Littlerock High,64246,Antelope Valley Union High,19,Los Angeles
3830429,3830429,Life Learning Academy Charter,68478,San Francisco Unified,38,San Francisco
127647,127647,e3 Civic High,68338,San Diego Unified,37,San Diego
1938083,1938083,Shery (Kurt T.) High (Continuation),65060,Torrance Unified,19,Los Angeles
3830437,3830437,Gateway High,68478,San Francisco Unified,38,San Francisco
1995430,1995430,Independence High (Alternative),75713,Alhambra Unified,19,Los Angeles
3330727,3330727,Paloma Valley High,67207,Perris Union High,33,Riverside
4838058,4838058,John Finney High (Continuation),70581,Vallejo City Unified,48,Solano
3330743,3330743,Chaparral High,75192,Temecula Valley Unified,33,Riverside
1995448,1995448,Francisco Bravo Medical Magnet High,64733,Los Angeles Unified,19,Los Angeles
119503,119503,Everest Public High,69062,Sequoia Union High,41,San Mateo
3732179,3732179,Fallbrook High,68122,Fallbrook Union High,37,San Diego
135905,135905,Oakland High,61259,Oakland Unified,1,Alameda
2331361,2331361,Fort Bragg High,65565,Fort Bragg Unified,23,Mendocino
3732195,3732195,Ivy High (Continuation),68122,Fallbrook Union High,37,San Diego
4338406,4338406,New Valley Continuation High,69674,Santa Clara Unified,43,Santa Clara
430827,430827,Biggs High,61408,Biggs Unified,4,Butte
3330800,3330800,Bayside Community Day,67124,Moreno Valley Unified,33,Riverside
3633906,3633906,Montclair High,67652,Chaffey Joint Union High,36,San Bernardino
1938166,1938166,Sierra Vista High,64287,Baldwin Park Unified,19,Los Angeles
4330239,4330239,Leigh High,69401,Campbell Union High,43,Santa Clara
3330818,3330818,Desert Hot Springs High,67173,Palm Springs Unified,33,Riverside
135939,135939,Washington Middle College High,72694,Washington Unified,57,Yolo
2732808,2732808,Monterey High,66092,Monterey Peninsula Unified,27,Monterey
4436754,4436754,San Lorenzo Valley High,69807,San Lorenzo Valley Unified,44,Santa Cruz
1995539,1995539,California Academy of Mathematics and Science,64725,Long Beach Unified,19,Los Angeles
3330842,3330842,Glen View High,66993,Beaumont Unified,33,Riverside
733980,733980,Liberty High,61721,Liberty Union High,7,Contra Costa
135970,135970,Mission Early College High,69674,Santa Clara Unified,43,Santa Clara
127787,127787,Humanities and Arts (HARTS) Academy of Los Angeles,64733,Los Angeles Unified,19,Los Angeles
3330859,3330859,Martin Luther King Jr. High,67215,Riverside Unified,33,Riverside
733998,733998,La Paloma High (Continuation),61721,Liberty Union High,7,Contra Costa
1995570,1995570,Educational Partnership High,64725,Long Beach Unified,19,Los Angeles
127795,127795,Contreras Learning Center-School of Social Justice,64733,Los Angeles Unified,19,Los Angeles
119602,119602,University Preparatory High,10546,Tulare County Office of Education,54,Tulare
127803,127803,Early College Academy-LA Trade Tech College,64733,Los Angeles Unified,19,Los Angeles
1995588,1995588,Palos Verdes Peninsula High,64865,Palos Verdes Peninsula Unified,19,Los Angeles
4830022,4830022,Travis Education Center,70565,Travis Unified,48,Solano
1930056,1930056,Cerritos High,64212,ABC Unified,19,Los Angeles
4338505,4338505,Westmont High,69401,Campbell Union High,43,Santa Clara
4330312,4330312,Phoenix High,69427,East Side Union High,43,Santa Clara
111435,111435,Marina High,66092,Monterey Peninsula Unified,27,Monterey
5632849,5632849,Hueneme High,72546,Oxnard Union High,56,Ventura
3035987,3035987,Junipero Serra High,66464,Capistrano Unified,30,Orange
119636,119636,Da Vinci Design,76869,Wiseburn Unified,19,Los Angeles
4133716,4133716,Menlo-Atherton High,69062,Sequoia Union High,41,San Mateo
1930080,1930080,Agoura High,64683,Las Virgenes Unified,19,Los Angeles
3036001,3036001,San Clemente High,66464,Capistrano Unified,30,Orange
4830048,4830048,Liberty High,70524,Benicia Unified,48,Solano
5436258,5436258,Bravo Lake High,76794,Woodlake Unified,54,Tulare
4830055,4830055,Maine Prairie High (Continuation),70532,Dixon Unified,48,Solano
3732336,3732336,Granite Hills High,68130,Grossmont Union High,37,San Diego
4330353,4330353,Pegasus High,69427,East Side Union High,43,Santa Clara
136051,136051,Oakland Technical High,61259,Oakland Unified,1,Alameda
4330361,4330361,Apollo High,69427,East Side Union High,43,Santa Clara
1930106,1930106,Santana High (Continuation),73452,Rowland Unified,19,Los Angeles
5436282,5436282,Woodlake High,76794,Woodlake Unified,54,Tulare
111484,111484,New Village Girls Academy,64733,Los Angeles Unified,19,Los Angeles
1938307,1938307,South Gate Senior High,64733,Los Angeles Unified,19,Los Angeles
111492,111492,Alliance Patti And Peter Neuwirth Leadership Academy,64733,Los Angeles Unified,19,Los Angeles
1995653,1995653,Sierra Vista High (Alternative),65128,Whittier Union High,19,Los Angeles
4830089,4830089,Will C. Wood High,70573,Vacaville Unified,48,Solano
111500,111500,Alliance Dr. Olga Mohan High,64733,Los Angeles Unified,19,Los Angeles
1995661,1995661,South El Monte High,64519,El Monte Union High,19,Los Angeles
3330958,3330958,March Valley,67124,Moreno Valley Unified,33,Riverside
127894,127894,Valor Academy High,64733,Los Angeles Unified,19,Los Angeles
5034905,5034905,Modesto High,71175,Modesto City High,50,Stanislaus
4830113,4830113,Buckingham Collegiate Charter Academy,70573,Vacaville Unified,48,Solano
5034913,5034913,Robert Elliott Alternative Education Center,71175,Modesto City High,50,Stanislaus
127910,127910,Camino Nuevo High #2,64733,Los Angeles Unified,19,Los Angeles
1930155,1930155,Schurr High,64808,Montebello Unified,19,Los Angeles
3330990,3330990,Coachella Valley High,73676,Coachella Valley Unified,33,Riverside
1995695,1995695,Cesar Chavez Continuation High,73437,Compton Unified,19,Los Angeles
119727,119727,Ramon C. Cortines School of Visual and Performing Arts,64733,Los Angeles Unified,19,Los Angeles
1930163,1930163,Alhambra High,75713,Alhambra Unified,19,Los Angeles
1938356,1938356,South High,65060,Torrance Unified,19,Los Angeles
136119,136119,Animo City of Champions Charter High,10199,Los Angeles County Office of Education,19,Los Angeles
1332154,1332154,Aurora High (Continuation),63099,Calexico Unified,13,Imperial
119743,119743,Stockton Early College Academy,68676,Stockton Unified,39,San Joaquin
4830147,4830147,Jesse M. Bethel High,70581,Vallejo City Unified,48,Solano
1938372,1938372,South Hills High,64436,Covina-Valley Unified,19,Los Angeles
3331014,3331014,Nuview Bridge Early College High,67157,Nuview Union,33,Riverside
127944,127944,Silver Oak High Public Montessori Charter,61192,Hayward Unified,1,Alameda
111575,111575,Animo Ralph Bunche Charter High,64733,Los Angeles Unified,19,Los Angeles
1995737,1995737,Malibu High,64980,Santa Monica-Malibu Unified,19,Los Angeles
4830170,4830170,Angelo Rodriguez High,70540,Fairfield-Suisun Unified,48,Solano
111583,111583,Animo Jackie Robinson High,64733,Los Angeles Unified,19,Los Angeles
4436960,4436960,Costanoa Continuation High,69823,Santa Cruz City High,44,Santa Cruz
1995745,1995745,Dr. Doug Sears Learning Center,65052,Temple City Unified,19,Los Angeles
1930213,1930213,Antelope Valley High,64246,Antelope Valley Union High,19,Los Angeles
1995752,1995752,Patricia Dreizler Continuation High,75341,Redondo Beach Unified,19,Los Angeles
119784,119784,Stockton High,68676,Stockton Unified,39,San Joaquin
1332204,1332204,Calexico High,63099,Calexico Unified,13,Imperial
4830196,4830196,MIT Academy,70581,Vallejo City Unified,48,Solano
3634169,3634169,Needles High,67801,Needles Unified,36,San Bernardino
1930239,1930239,R. K. Lloyde High,64352,Centinela Valley Union High,19,Los Angeles
3331071,3331071,Vista del Lago High,67124,Moreno Valley Unified,33,Riverside
111625,111625,Animo Watts College Preparatory Academy,64733,Los Angeles Unified,19,Los Angeles
1995786,1995786,Vasquez High,75309,Acton-Agua Dulce Unified,19,Los Angeles
1995794,1995794,Youth Opportunities Unlimited,64733,Los Angeles Unified,19,Los Angeles
1938455,1938455,South Pasadena Senior High,65029,South Pasadena Unified,19,Los Angeles
1995802,1995802,Valencia High,65136,William S. Hart Union High,19,Los Angeles
5739552,5739552,Yolo High,72694,Washington Unified,57,Yolo
1995810,1995810,Gabrielino High,75291,San Gabriel Unified,19,Los Angeles
136226,136226,Opportunity Academy,10017,Alameda County Office of Education,1,Alameda
734244,734244,Miramonte High,61630,Acalanes Union High,7,Contra Costa
1135656,1135656,Orland High,75481,Orland Joint Unified,11,Glenn
3331113,3331113,Amistad High (Continuation),67058,Desert Sands Unified,33,Riverside
136234,136234,Lemoore Online College Preparatory High,63982,Lemoore Union High,16,Kings
111658,111658,Alliance Marc & Eva Stern Math and Science,64733,Los Angeles Unified,19,Los Angeles
1930288,1930288,Arcadia High,64261,Arcadia Unified,19,Los Angeles
3331121,3331121,Mt. San Jacinto High,67173,Palm Springs Unified,33,Riverside
111666,111666,Early College High,66597,Newport-Mesa Unified,30,Orange
1930296,1930296,Harris Newmark Continuation,64733,Los Angeles Unified,19,Los Angeles
5231675,5231675,Centennial Continuation High,71506,Corning Union High,52,Tehama
1995836,1995836,Palisades Charter High,64733,Los Angeles Unified,19,Los Angeles
2430015,2430015,Westside High,75317,Dos Palos Oro Loma Joint Unified,24,Merced
3331139,3331139,Twin Palms Continuation,67181,Palo Verde Unified,33,Riverside
1995844,1995844,Lancaster High,64246,Antelope Valley Union High,19,Los Angeles
1930312,1930312,Arrow High (Continuation),64378,Charter Oak Unified,19,Los Angeles
4330569,4330569,Community Day,69468,Fremont Union High,43,Santa Clara
2430031,2430031,Pioneer High (Continuation),73619,Gustine Unified,24,Merced
1930320,1930320,Arroyo High,64519,El Monte Union High,19,Los Angeles
1938513,1938513,Coronado High (Continuation),65094,West Covina Unified,19,Los Angeles
3732559,3732559,Chaparral High,68130,Grossmont Union High,37,San Diego
1234004,1234004,Hoopa Valley High,62901,Klamath-Trinity Joint Unified,12,Humboldt
4330585,4330585,Downtown College Preparatory,69666,San Jose Unified,43,Santa Clara
1995869,1995869,International Polytechnic High,10199,Los Angeles County Office of Education,19,Los Angeles
5231709,5231709,Corning High,71506,Corning Union High,52,Tehama
5330014,5330014,Alps View High (Continuation),76513,Trinity Alps Unified,53,Trinity
2430049,2430049,Independence High (Alternative),65789,Merced Union High,24,Merced
1930338,1930338,Frontier High (Continuation),65128,Whittier Union High,19,Los Angeles
136291,136291,Career Technical Education Charter,10108,Fresno County Office of Education,10,Fresno
4330593,4330593,Middle College High,69666,San Jose Unified,43,Santa Clara
4936803,4936803,Santa Rosa High,70920,Santa Rosa High,49,Sonoma
5330022,5330022,Valley High,75028,Mountain Valley Unified,53,Trinity
4838504,4838504,Vallejo High,70581,Vallejo City Unified,48,Solano
3839081,3839081,Washington (George) High,68478,San Francisco Unified,38,San Francisco
5330030,5330030,Mt. Lassic High (Continuation),73833,Southern Trinity Joint Unified,53,Trinity
