,SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName
4236345,4236345,Santa Ynez Valley Union High,69328,Santa Ynez Valley Union High,42,Santa Barbara
4138053,4138053,Woodside High,69062,Sequoia Union High,41,San Mateo
730184,730184,Black Diamond High (Continuation),61788,Pittsburg Unified,7,Contra Costa
3630159,3630159,Milor Continuation High,67850,Rialto Unified,36,San Bernardino
1934421,1934421,Bowman (Jereann) High (Continuation),65136,William S. Hart Union High,19,Los Angeles
140376,140376,Casterlin High,63040,Southern Humboldt Joint Unified,12,Humboldt
5137500,5137500,Sutter High,71449,Sutter Union High,51,Sutter
3032158,3032158,Fountain Valley High,66548,Huntington Beach Union High,30,Orange
5432414,5432414,Lindsay Senior High,71993,Lindsay Unified,54,Tulare
1934454,1934454,David Starr Jordan Senior High,64733,Los Angeles Unified,19,Los Angeles
132225,132225,Castro Valley High,61150,Castro Valley Unified,1,Alameda
107649,107649,Countryside Community Day,72249,Tulare Joint Union High,54,Tulare
1934470,1934470,Jordan High,64725,Long Beach Unified,19,Los Angeles
4334728,4334728,Mountain View High,69609,Mountain View-Los Altos Union High,43,Santa Clara
132233,132233,John Henry High,77354,SBE - John Henry High,7,Contra Costa
3630217,3630217,Black Rock Alternative/Continuation,67777,Morongo Unified,36,San Bernardino
4334736,4334736,Alta Vista High,69609,Mountain View-Los Altos Union High,43,Santa Clara
2835601,2835601,Napa High,66266,Napa Valley Unified,28,Napa
3630225,3630225,Alta Loma High,67652,Chaffey Joint Union High,36,San Bernardino
107672,107672,Sequoia High,65789,Merced Union High,24,Merced
3630233,3630233,Serrano High,73957,Snowline Joint Unified,36,San Bernardino
2434207,2434207,Los Banos High,65755,Los Banos Unified,24,Merced
3630241,3630241,Mountain High,67868,Rim of the World Unified,36,San Bernardino
730283,730283,Acalanes High,61630,Acalanes Union High,7,Contra Costa
132274,132274,Alpha Cindy Avitia High,69427,East Side Union High,43,Santa Clara
730291,730291,Middle College High,61796,West Contra Costa Unified,7,Contra Costa
1230010,1230010,Osprey Learning Center,63040,Southern Humboldt Joint Unified,12,Humboldt
107706,107706,Blue Heron,64022,Konocti Unified,17,Lake
132282,132282,Ednovate - East College Prep,64733,Los Angeles Unified,19,Los Angeles
3630266,3630266,Educational Training Center,67801,Needles Unified,36,San Bernardino
3630274,3630274,Silver Valley High,73890,Silver Valley Unified,36,San Bernardino
3630282,3630282,Calico Continuation High,73890,Silver Valley Unified,36,San Bernardino
107722,107722,River Valley High,71464,Yuba City Unified,51,Sutter
1230028,1230028,Captain John Continuation High,62901,Klamath-Trinity Joint Unified,12,Humboldt
1033430,1033430,Kerman High,73999,Kerman Unified,10,Fresno
1934553,1934553,Mark Keppel High,75713,Alhambra Unified,19,Los Angeles
1230044,1230044,Pacific Coast High (Continuation),62687,Northern Humboldt Union High,12,Humboldt
1230051,1230051,Mad River High (Continuation),62687,Northern Humboldt Union High,12,Humboldt
132324,132324,Eunice Sato Academy of Math & Science,64725,Long Beach Unified,19,Los Angeles
124131,124131,California Preparatory Academy,66464,Capistrano Unified,30,Orange
3630308,3630308,San Andreas High,67876,San Bernardino City Unified,36,San Bernardino
107755,107755,Port of Los Angeles High,64733,Los Angeles Unified,19,Los Angeles
4130027,4130027,Pilarcitos Alternative High (Continuation),68890,Cabrillo Unified,41,San Mateo
3638509,3638509,Yucaipa High,67959,Yucaipa-Calimesa Joint Unified,36,San Bernardino
730358,730358,Prospect High (Continuation),61754,Mt. Diablo Unified,7,Contra Costa
4334850,4334850,Mt. Madonna High,69484,Gilroy Unified,43,Santa Clara
1230085,1230085,Mattole Triple Junction High,75382,Mattole Unified,12,Humboldt
107797,107797,Heritage High,61721,Liberty Union High,7,Contra Costa
1434901,1434901,Lone Pine High,63289,Lone Pine Unified,14,Inyo
3630365,3630365,Chaparral High,73957,Snowline Joint Unified,36,San Bernardino
115998,115998,San Pasqual Academy,10371,San Diego County Office of Education,37,San Diego
3630373,3630373,Etiwanda High,67652,Chaffey Joint Union High,36,San Bernardino
4334900,4334900,Mt. Pleasant High,69427,East Side Union High,43,Santa Clara
730424,730424,Summit High (Continuation),61754,Mt. Diablo Unified,7,Contra Costa
3433794,3433794,Grant Union High,76505,Twin Rivers Unified,34,Sacramento
3630407,3630407,Hesperia High,75044,Hesperia Unified,36,San Bernardino
730440,730440,Vicente Martinez High,61739,Martinez Unified,7,Contra Costa
