,SchoolCode,Value,CohortStudents,Dropout (Count),Dropout Rate,Unnamed: 0,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName
370,5130059,,380.0,32.0,0.08421052631578947,5130059,Valley Oak Continuation High,71399,Live Oak Unified,51,Sutter
371,108365,,8520.0,0.0,0.0,108365,Segerstrom High,66670,Santa Ana Unified,30,Orange
372,100180,,,,,100180,Mountain Oaks High,75606,Chawanakee Unified,20,Madera
373,3032919,,1700.0,228.0,0.13411764705882354,3032919,Hillview High (Continuation),73643,Tustin Unified,30,Orange
374,100198,,9988.0,700.0,0.07008410092110533,100198,Golden Valley High,63529,Kern High,15,Kern
375,132969,,1180.0,0.0,0.0,132969,Compton Early College High,73437,Compton Unified,19,Los Angeles
376,116590,,1544.0,0.0,0.0,116590,Harmony Magnet Academy,75523,Porterville Unified,54,Tulare
377,3032943,,9004.0,144.0,0.015992892047978675,3032943,Huntington Beach High,66548,Huntington Beach Union High,30,Orange
378,1230705,,2708.0,16.0,0.005908419497784343,1230705,Arcata High,62687,Northern Humboldt Union High,12,Humboldt
379,108407,,9816.0,1792.0,0.18255908720456399,108407,Eastside High,64246,Antelope Valley Union High,19,Los Angeles
380,5031802,,7940.0,356.0,0.044836272040302265,5031802,Thomas Downey High,71175,Modesto City High,50,Stanislaus
381,3434370,,2692.0,160.0,0.05943536404160475,3434370,Highlands High,76505,Twin Rivers Unified,34,Sacramento
382,1632140,,624.0,44.0,0.07051282051282051,1632140,Kings Lake Education Center,63891,Corcoran Joint Unified,16,Kings
383,1935246,,6380.0,208.0,0.03260188087774295,1935246,Los Altos High,73445,Hacienda la Puente Unified,19,Los Angeles
384,5433230,,4276.0,120.0,0.02806361085126286,5433230,Orosi High,71860,Cutler-Orosi Joint Unified,54,Tulare
385,133009,,3116.0,396.0,0.12708600770218229,133009,Brenkwitz High,61192,Hayward Unified,1,Alameda
386,1533843,,,,,1533843,Maricopa High,63628,Maricopa Unified,15,Kern
387,100255,,9512.0,1512.0,0.15895710681244743,100255,Desert Mirage High,73676,Coachella Valley Unified,33,Riverside
388,116640,,432.0,16.0,0.037037037037037035,116640,Dunlap Leadership Academy,62265,Kings Canyon Joint Unified,10,Fresno
389,124834,,468.0,0.0,0.0,124834,Sierra Academy of Expeditionary Learning,66357,Nevada Joint Union High,29,Nevada
390,3631017,,10060.0,184.0,0.018290258449304174,3631017,Chino Hills High,67678,Chino Valley Unified,36,San Bernardino
391,4130738,,5096.0,104.0,0.02040816326530612,4130738,Capuchino High,69047,San Mateo Union High,41,San Mateo
392,1632207,,2264.0,28.0,0.012367491166077738,1632207,Corcoran High,63891,Corcoran Joint Unified,16,Kings
393,3631058,,11440.0,376.0,0.032867132867132866,3631058,Los Osos High,67652,Chaffey Joint Union High,36,San Bernardino
394,3631066,,2704.0,128.0,0.047337278106508875,3631066,Big Bear High,67637,Bear Valley Unified,36,San Bernardino
395,124891,53964121.56,1928.0,96.0,0.04979253112033195,124891,Alliance Renee and Meyer Luskin Academy High,64733,Los Angeles Unified,19,Los Angeles
396,3033057,,11208.0,136.0,0.012134189864382585,3033057,Katella High,66431,Anaheim Union High,30,Orange
397,1034214,,6812.0,408.0,0.05989430416911333,1034214,McLane High,62166,Fresno Unified,10,Fresno
398,4835302,,1476.0,0.0,0.0,4835302,Rio Vista High,67413,River Delta Joint Unified,34,Sacramento
399,3631082,,10368.0,608.0,0.05864197530864197,3631082,Arroyo Valley High,67876,San Bernardino City Unified,36,San Bernardino
400,3631090,,1032.0,0.0,0.0,3631090,Middle College High,67876,San Bernardino City Unified,36,San Bernardino
401,731125,,4564.0,16.0,0.0035056967572304996,731125,Campolindo High,61630,Acalanes Union High,7,Contra Costa
