SchoolCode,TotalCourses,TotalEnrollment,UCCSUCourses,UCCSUEnrollment,StaffACourses,StaffAEnrollment,StaffBCourses,StaffBEnrollment,StaffNCourses,StaffNEnrollment,NCLBCoreCourses,NCLBEnrollment
3630746,551,11406,322.0,8763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630779,645,12229,354.0,9470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630787,497,13458,333.0,10090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630845,37,99,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630894,511,8857,224.0,6664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630902,581,12969,422.0,10218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3631017,605,16344,480.0,13214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3631058,763,18458,480.0,15165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3631066,384,4190,132.0,2489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3631082,944,17889,477.0,14019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3631090,52,1332,44.0,1133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3631157,650,13500,326.0,10278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3631322,614,14174,424.0,11113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3631587,215,701,136.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3631769,113,916,88.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3632205,830,19680,471.0,14710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3632221,656,19135,478.0,14779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3632502,475,10768,362.0,8509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3632742,456,11597,340.0,9011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3632809,97,1789,54.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3633005,721,14498,364.0,9040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3633302,573,15209,437.0,11956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3633351,62,428,43.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3633906,708,17816,444.0,13905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3634169,89,1753,45.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3634482,654,14744,351.0,11096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3634680,415,8204,229.0,5966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3634995,117,1235,67.0,849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
