SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,TotalFTE,ClearFTE,OtherFTE
3130176,Woodcreek High,66928,Roseville Joint Union High,31,Placer,91.98,80.1,10.33
3130184,Granite Bay High,66928,Roseville Joint Union High,31,Placer,85.66,76.67,8.86
1934157,Huntington Park Senior High,64733,Los Angeles Unified,19,Los Angeles,67,44.82,17.18
4334421,Lynbrook High,69468,Fremont Union High,43,Santa Clara,81.92,77.52,1.24
3031895,Edison High,66548,Huntington Beach Union High,30,Orange,100.13,85.33,10.67
3130200,Victory High,75085,Rocklin Unified,31,Placer,6.1,4.14,1.96
140129,Ednovate College Prep 7,64733,Los Angeles Unified,19,Los Angeles,5.5,1,4.5
131938,Clear Passage Educational Center,64725,Long Beach Unified,19,Los Angeles,1,1,0
131953,Lassen Community Day,64139,Lassen Union High,18,Lassen,1.21,0,1.21
3031929,El Dorado High,66647,Placentia-Yorba Linda Unified,30,Orange,80.57,65.88,9.19
4334462,Monta Vista High,69468,Fremont Union High,43,Santa Clara,82.16,75.62,1.9
4334470,Milpitas High,73387,Milpitas Unified,43,Santa Clara,133.8,117.84,4.68
3031945,El Camino Real Continuation High,66647,Placentia-Yorba Linda Unified,30,Orange,11.17,7.89,2.71
123786,Credo High,73882,Cotati-Rohnert Park Unified,49,Sonoma,25.54,16.2,8.19
5637004,Thousand Oaks High,73759,Conejo Valley Unified,56,Ventura,90.92,78.16,4.53
3031952,El Modena High,66621,Orange Unified,30,Orange,92.11,78.32,4.59
3834769,O'Connell (John) High,68478,San Francisco Unified,38,San Francisco,39.76,14.9,13.28
123794,Summit Public School: Tahoma,10439,Santa Clara County Office of Education,43,Santa Clara,27.51,17.01,10.5
1934231,Inglewood High,64634,Inglewood Unified,19,Los Angeles,34.22,22.32,3.52
4334488,Central High (Continuation),69583,Morgan Hill Unified,43,Santa Clara,7.8,5.2,2.5
123802,Health Careers Academy,68676,Stockton Unified,39,San Joaquin,23.02,19.36,1.58
131995,B. Roberto Cruz Leadership Academy,69427,East Side Union High,43,Santa Clara,13.93,9.93,4
1934249,Inglewood Continuation High,64634,Inglewood Unified,19,Los Angeles,5,3.35,0.9
132027,University Preparatory Value High,64733,Los Angeles Unified,19,Los Angeles,29.07,16.67,10.24
730044,Northgate High,61754,Mt. Diablo Unified,7,Contra Costa,61.04,56.73,2.94
3032000,Estancia High,66597,Newport-Mesa Unified,30,Orange,54.38,41.3,5.3
730051,California High,61804,San Ramon Valley Unified,7,Contra Costa,121.4,110.07,7.22
3138500,Tahoe Truckee High,66944,Tahoe-Truckee Unified,31,Placer,43.96,36.87,2.77
3130309,Adelante High (Continuation),66928,Roseville Joint Union High,31,Placer,11.1,9.8,1.05
3630019,Eric Birch High (Continuation),67710,Fontana Unified,36,San Bernardino,18.68,12.3,5.87
4932554,Healdsburg High,75390,Healdsburg Unified,49,Sonoma,29,26.54,0.4
115667,Oakland International High,61259,Oakland Unified,1,Alameda,25.29,8.66,16.64
3630035,Don Antonio Lugo High,67678,Chino Valley Unified,36,San Bernardino,85.29,71.78,6.01
3335130,Palm Springs High,67173,Palm Springs Unified,33,Riverside,69.22,55.28,7.79
107482,San Diego Metro Career and Tech,68338,San Diego Unified,37,San Diego,14.02,7.8,6.23
5030879,Ceres High,71043,Ceres Unified,50,Stanislaus,74.43,65.79,4.78
730101,Live Oak High (Continuation),61648,Antioch Unified,7,Contra Costa,8,5.15,2.85
3630076,Baker High,73858,Baker Valley Unified,36,San Bernardino,4.35,2.86,1.38
3433471,Galt High,67355,Galt Joint Union High,34,Sacramento,44.24,40.4,2.15
107524,Acalanes Center for Independent Study,61630,Acalanes Union High,7,Contra Costa,6.4,5.47,0.93
3630100,Goodwill High,67934,Victor Valley Union High,36,San Bernardino,6.1,5.67,0.33
132126,Bert Corona Charter High,64733,Los Angeles Unified,19,Los Angeles,12,10,1
1934371,Thomas Jefferson Senior High,64733,Los Angeles Unified,19,Los Angeles,35.35,23.82,9.66
132134,Phillip J Patino School of Entrepreneurship,62166,Fresno Unified,10,Fresno,12.81,11.4,1.07
3032109,Foothill High,73643,Tustin Unified,30,Orange,91.21,83.02,3.79
140343,Oceanside Unified School District Adult Transition Program,73569,Oceanside Unified,37,San Diego,6,2,4
4236345,Santa Ynez Valley Union High,69328,Santa Ynez Valley Union High,42,Santa Barbara,43.78,38.69,4.16
4138053,Woodside High,69062,Sequoia Union High,41,San Mateo,111.49,93.69,2.83
730184,Black Diamond High (Continuation),61788,Pittsburg Unified,7,Contra Costa,16.11,14.76,1.06
3630159,Milor Continuation High,67850,Rialto Unified,36,San Bernardino,16.51,12.26,3
1934421,Bowman (Jereann) High (Continuation),65136,William S. Hart Union High,19,Los Angeles,20.05,16.74,2.87
140376,Casterlin High,63040,Southern Humboldt Joint Unified,12,Humboldt,1.99,0.36,1.63
5137500,Sutter High,71449,Sutter Union High,51,Sutter,32.69,28.02,3.76
3032158,Fountain Valley High,66548,Huntington Beach Union High,30,Orange,123.09,111.17,4.4
5432414,Lindsay Senior High,71993,Lindsay Unified,54,Tulare,51.81,40.45,7.67
1934454,David Starr Jordan Senior High,64733,Los Angeles Unified,19,Los Angeles,36.34,28.86,4.35
132225,Castro Valley High,61150,Castro Valley Unified,1,Alameda,116.51,110.76,4
107649,Countryside Community Day,72249,Tulare Joint Union High,54,Tulare,2.02,0.22,1.8
1934470,Jordan High,64725,Long Beach Unified,19,Los Angeles,102.59,82.68,12.69
4334728,Mountain View High,69609,Mountain View-Los Altos Union High,43,Santa Clara,114.4,109.21,1.34
132233,John Henry High,77354,SBE - John Henry High,7,Contra Costa,14.2,6,8.2
3630217,Black Rock Alternative/Continuation,67777,Morongo Unified,36,San Bernardino,8.11,7.32,0.79
4334736,Alta Vista High,69609,Mountain View-Los Altos Union High,43,Santa Clara,7.15,5.35,1.7
2835601,Napa High,66266,Napa Valley Unified,28,Napa,83.37,70.46,5.69
3630225,Alta Loma High,67652,Chaffey Joint Union High,36,San Bernardino,100.96,90.06,3.14
107672,Sequoia High,65789,Merced Union High,24,Merced,9.4,5.04,4.36
3630233,Serrano High,73957,Snowline Joint Unified,36,San Bernardino,94.83,82.11,2.43
2434207,Los Banos High,65755,Los Banos Unified,24,Merced,68.99,56.27,9.84
3630241,Mountain High,67868,Rim of the World Unified,36,San Bernardino,2.99,2.78,0.21
730283,Acalanes High,61630,Acalanes Union High,7,Contra Costa,67.02,57.61,7.49
132274,Alpha Cindy Avitia High,69427,East Side Union High,43,Santa Clara,31.01,12.33,14.48
730291,Middle College High,61796,West Contra Costa Unified,7,Contra Costa,10,9.45,0.56
1230010,Osprey Learning Center,63040,Southern Humboldt Joint Unified,12,Humboldt,0.58,0.03,0.55
107706,Blue Heron,64022,Konocti Unified,17,Lake,2,0.17,1.83
132282,Ednovate - East College Prep,64733,Los Angeles Unified,19,Los Angeles,16.32,6.32,8.12
3630266,Educational Training Center,67801,Needles Unified,36,San Bernardino,0.67,0,0.67
3630274,Silver Valley High,73890,Silver Valley Unified,36,San Bernardino,22.79,18.96,1.77
3630282,Calico Continuation High,73890,Silver Valley Unified,36,San Bernardino,1,1,0
107722,River Valley High,71464,Yuba City Unified,51,Sutter,90.86,82.51,2.44
1230028,Captain John Continuation High,62901,Klamath-Trinity Joint Unified,12,Humboldt,2.01,0.08,1.92
1033430,Kerman High,73999,Kerman Unified,10,Fresno,67.47,53.63,7.05
1934553,Mark Keppel High,75713,Alhambra Unified,19,Los Angeles,84.29,78.37,4.19
1230044,Pacific Coast High (Continuation),62687,Northern Humboldt Union High,12,Humboldt,2.4,2.4,0
1230051,Mad River High (Continuation),62687,Northern Humboldt Union High,12,Humboldt,2.07,1.96,0.11
132324,Eunice Sato Academy of Math & Science,64725,Long Beach Unified,19,Los Angeles,17.7,16.3,1
124131,California Preparatory Academy,66464,Capistrano Unified,30,Orange,7.45,7.01,0.44
3630308,San Andreas High,67876,San Bernardino City Unified,36,San Bernardino,31,24.78,4.72
107755,Port of Los Angeles High,64733,Los Angeles Unified,19,Los Angeles,51.75,47.76,3.32
4130027,Pilarcitos Alternative High (Continuation),68890,Cabrillo Unified,41,San Mateo,0.93,0.51,0.37
3638509,Yucaipa High,67959,Yucaipa-Calimesa Joint Unified,36,San Bernardino,115.32,94.83,6.33
730358,Prospect High (Continuation),61754,Mt. Diablo Unified,7,Contra Costa,3.57,2.75,0.8
4334850,Mt. Madonna High,69484,Gilroy Unified,43,Santa Clara,8.43,8.26,0
1230085,Mattole Triple Junction High,75382,Mattole Unified,12,Humboldt,3.01,1.56,1.45
107797,Heritage High,61721,Liberty Union High,7,Contra Costa,107.51,99.34,4.42
1434901,Lone Pine High,63289,Lone Pine Unified,14,Inyo,7.17,4.11,2.27
3630365,Chaparral High,73957,Snowline Joint Unified,36,San Bernardino,11,8.83,2.04
115998,San Pasqual Academy,10371,San Diego County Office of Education,37,San Diego,8.49,7.47,0.7
3630373,Etiwanda High,67652,Chaffey Joint Union High,36,San Bernardino,142.05,133.26,3.88
4334900,Mt. Pleasant High,69427,East Side Union High,43,Santa Clara,58.78,47.65,8.25
730424,Summit High (Continuation),61754,Mt. Diablo Unified,7,Contra Costa,3.31,2.17,1.15
3433794,Grant Union High,76505,Twin Rivers Unified,34,Sacramento,98,86.21,9.58
3630407,Hesperia High,75044,Hesperia Unified,36,San Bernardino,93.18,72.24,7.31
730440,Vicente Martinez High,61739,Martinez Unified,7,Contra Costa,4.19,2.11,2.08
1934678,Lakewood High,64725,Long Beach Unified,19,Los Angeles,123.93,100.5,13.04
3630423,Apple Valley High,75077,Apple Valley Unified,36,San Bernardino,87.48,67.76,15.58
3638616,Yucca Valley High,67777,Morongo Unified,36,San Bernardino,63.49,44.05,13.55
730457,Freedom High,61721,Liberty Union High,7,Contra Costa,111.33,95.19,7.94
730465,Deer Valley High,61648,Antioch Unified,7,Contra Costa,78.03,60.3,14.11
3630456,Hillside High,75069,Upland Unified,36,San Bernardino,12,8.31,3.69
1934728,La Mirada High,64840,Norwalk-La Mirada Unified,19,Los Angeles,81.4,73.05,5.43
3630472,Mojave High,75044,Hesperia Unified,36,San Bernardino,17.3,12.15,4.1
2131340,Sir Francis Drake High,65482,Tamalpais Union High,21,Marin,69.41,58.65,8.05
107920,Lakeside High,75176,Lake Elsinore Unified,33,Riverside,83.76,78.85,0
3630480,Citrus High (Continuation),67710,Fontana Unified,36,San Bernardino,21.95,13.2,8
435602,Oroville High,61515,Oroville Union High,4,Butte,47.89,35.21,7.9
1533330,Highland High,63529,Kern High,15,Kern,101.43,78.67,13.58
4130217,Aragon High,69047,San Mateo Union High,41,San Mateo,76.14,64.99,6.42
730549,Alhambra Senior High,61739,Martinez Unified,7,Contra Costa,52.99,41.05,7.29
3032505,Fullerton Union High,66514,Fullerton Joint Union High,30,Orange,74.58,65.7,7.86
3630522,Ruben S. Ayala High,67678,Chino Valley Unified,36,San Bernardino,104.36,91.34,8.9
3630530,Zupanic High,67850,Rialto Unified,36,San Bernardino,3.99,0.85,3.1
132548,IDEA Center,68130,Grossmont Union High,37,San Diego,15.67,12.44,2.77
124362,Valley Academy of Arts and Sciences,64733,Los Angeles Unified,19,Los Angeles,43.85,30.77,8.01
132555,Conservatory of Vocal/Instrumental Arts High,61259,Oakland Unified,1,Alameda,4,0.75,3.25
730572,Independence High,61721,Liberty Union High,7,Contra Costa,11.69,10.1,1.58
1934801,La Puente High,73445,Hacienda la Puente Unified,19,Los Angeles,46.5,43.14,2.05
124370,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,64733,Los Angeles Unified,19,Los Angeles,25.03,18.54,4.93
5432786,Monache High,75523,Porterville Unified,54,Tulare,83.04,65.14,15.29
5031380,Grace M. Davis High,71175,Modesto City High,50,Stanislaus,90.33,77.61,11.51
3630555,Fontana A. B. Miller High,67710,Fontana Unified,36,San Bernardino,105.56,65.52,35.27
1033695,Kingsburg High,62257,Kingsburg Joint Union High,10,Fresno,51.34,37.18,13.96
3630563,Lucerne Valley High,75051,Lucerne Valley Unified,36,San Bernardino,16.33,10.86,4.52
1730019,Natural High (Continuation),64030,Lakeport Unified,17,Lake,1,0,1
124388,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,64733,Los Angeles Unified,19,Los Angeles,23.49,21.36,2.15
730598,Hercules High,61796,West Contra Costa Unified,7,Contra Costa,34.59,27.33,5.17
1033703,Kings Canyon Continuation,62265,Kings Canyon Joint Unified,10,Fresno,10.86,3.6,7.26
3630571,Rancho Cucamonga High,67652,Chaffey Joint Union High,36,San Bernardino,133.85,124.85,5.42
1730027,Carle (William C.) High (Continuation),64022,Konocti Unified,17,Lake,4.51,3.22,1.29
124396,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),64733,Los Angeles Unified,19,Los Angeles,19.49,12.29,7.22
1730035,Loconoma Valley High,64055,Middletown Unified,17,Lake,1,1,0
124404,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,64733,Los Angeles Unified,19,Los Angeles,15.98,13.46,1.82
1730043,Ed Donaldson Education Center,64014,Kelseyville Unified,17,Lake,0.56,0,0.56
5432828,Mt. Whitney High,72256,Visalia Unified,54,Tulare,78.54,69.04,7.98
1033729,Oasis Continuation High,62257,Kingsburg Joint Union High,10,Fresno,3.51,1.67,1.84
1730050,Clover Valley High (Continuation),76976,Upper Lake Unified,17,Lake,0.5,0.5,0
3630597,Rialto High,67850,Rialto Unified,36,San Bernardino,120.12,98,3.84
4032009,Coast Union High,75465,Coast Unified,40,San Luis Obispo,15.26,14.12,0.13
4630034,Sierra Pass (Continuation),70177,Sierra-Plumas Joint Unified,46,Sierra,0.25,0,0.25
1934868,La Serna High,65128,Whittier Union High,19,Los Angeles,91.86,83.55,3.04
4130324,Baden High (Continuation),69070,South San Francisco Unified,41,San Mateo,9.01,4.8,4.21
108076,Central Valley High,71043,Ceres Unified,50,Stanislaus,97.2,74.23,17.75
108084,Whitney High,75085,Rocklin Unified,31,Placer,88.92,81.95,5.88
108092,Orange Cove High,62265,Kings Canyon Joint Unified,10,Fresno,25.9,20.8,4.44
116285,Redondo Beach Learning Academy,75341,Redondo Beach Unified,19,Los Angeles,1,0.32,0.68
124479,Dr. Maya Angelou Community High,64733,Los Angeles Unified,19,Los Angeles,50.35,38.25,6.19
124487,Public Service Community at Diego Rivera Learning Complex,64733,Los Angeles Unified,19,Los Angeles,25.01,21.17,2.75
1132109,Elk Creek Junior-Senior High,62653,Stony Creek Joint Unified,11,Glenn,3.29,1.33,1.49
1934926,Lawndale High,64352,Centinela Valley Union High,19,Los Angeles,106.35,100.14,2.17
124495,Communication and Technology at Diego Rivera Learning Complex,64733,Los Angeles Unified,19,Los Angeles,22.76,14.57,7.82
132688,Dewey Academy,61259,Oakland Unified,1,Alameda,14.21,6.73,7.48
3335759,Palo Verde High,67181,Palo Verde Unified,33,Riverside,37.01,34.3,0.83
124503,Diego Rivera Learning Complex Green Design STEAM Academy,64733,Los Angeles Unified,19,Los Angeles,28.06,17.29,7.42
124511,Performing Arts Community at Diego Rivera Learning Complex,64733,Los Angeles Unified,19,Los Angeles,25.01,21.33,3.38
132704,Dublin High,75093,Dublin Unified,1,Alameda,142.01,119.58,7.83
3933793,Village Oaks High,68569,Lincoln Unified,39,San Joaquin,22.97,15.02,6.92
1533538,Kern Valley High,63529,Kern High,15,Kern,26.94,20.88,4.37
5031521,Denair High,71068,Denair Unified,50,Stanislaus,17.95,14.81,2.05
4335204,Oak Grove High,69427,East Side Union High,43,Santa Clara,72.3,64.74,2.55
3630696,Mountain View High,75051,Lucerne Valley Unified,36,San Bernardino,1.03,0.45,0.27
3933801,Lincoln High,68569,Lincoln Unified,39,San Joaquin,130.2,95.04,21.74
3630712,Central High (Continuation),67611,Barstow Unified,36,San Bernardino,8.79,5.75,2.84
108159,Cesar Chavez High,68676,Stockton Unified,39,San Joaquin,100.72,71.98,14.76
124552,Applied Technology Center,64808,Montebello Unified,19,Los Angeles,31,27.75,3.25
132746,Emery Secondary,61168,Emery Unified,1,Alameda,15,12.78,1.72
124560,Synergy Quantum Academy,64733,Los Angeles Unified,19,Los Angeles,29.5,24.84,4.67
116368,Mission Oak High,72249,Tulare Joint Union High,54,Tulare,68.83,54.29,8.82
5637780,Mary B. Perry High,32276,California Education Authority (CEA) Headquarters,34,Sacramento,16.6,15.55,1.05
116376,Lathrop High,68593,Manteca Unified,39,San Joaquin,73.81,54.82,18.83
3630746,Sultana High,75044,Hesperia Unified,36,San Bernardino,83.56,64.41,4.1
108191,Summit High,67710,Fontana Unified,36,San Bernardino,114.46,74.16,36.74
116384,Robert F. Kennedy High,63412,Delano Joint Union High,15,Kern,56.02,41.56,14.46
116392,Independence High,63529,Kern High,15,Kern,82.93,69,9.49
