SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,TotalFTE,ClearFTE,OtherFTE
4130472,Burlingame High,69047,San Mateo Union High,41,San Mateo,71.82,59.42,4.53
116400,Mira Monte High,63529,Kern High,15,Kern,102.04,82.23,15.41
3032752,Garden Grove High,66522,Garden Grove Unified,30,Orange,94.69,76.41,7.02
3630779,Redlands East Valley High,67843,Redlands Unified,36,San Bernardino,92.11,77.05,8.37
4531901,Central Valley High,75267,Gateway Unified,45,Shasta,26.44,20.61,4
5637822,Ventura High,72652,Ventura Unified,56,Ventura,89.56,65.81,18.59
108225,Ronald E. McNair High,68585,Lodi Unified,39,San Joaquin,91.2,70.3,15.65
3630787,Silverado High,67934,Victor Valley Union High,36,San Bernardino,94.97,72.16,6.37
1935048,Leuzinger High,64352,Centinela Valley Union High,19,Los Angeles,90.89,80.45,5.44
3032786,Gilbert High (Continuation),66431,Anaheim Union High,30,Orange,37.84,25.23,10.04
3630803,Barstow High,67611,Barstow Unified,36,San Bernardino,64.62,46.63,5.65
1033950,Laton High,62281,Laton Joint Unified,10,Fresno,13.45,10.09,1.94
100065,Oakland Unity High,61259,Oakland Unified,1,Alameda,16,12.5,2
116459,Antelope High,66928,Roseville Joint Union High,31,Placer,76.03,66.25,8.31
730861,Antioch High,61648,Antioch Unified,7,Contra Costa,85.15,74.72,7.34
100081,William J. (Pete) Knight High,64246,Antelope Valley Union High,19,Los Angeles,121.1,101.64,14.09
3630845,Chaffey Community Day,67652,Chaffey Joint Union High,36,San Bernardino,2.3,1.38,0.92
3933959,Linden High,68577,Linden Unified,39,San Joaquin,34.84,27.86,6.57
116491,Open Door Charter,10272,Monterey County Office of Education,27,Monterey,1.63,0.36,1.27
1935121,Abraham Lincoln Senior High,64733,Los Angeles Unified,19,Los Angeles,55.99,41.69,10.23
2230035,Spring Hill High (Continuation),65532,Mariposa County Unified,22,Mariposa,2.79,1.14,1.56
116509,Alliance Morgan McKinzie High,64733,Los Angeles Unified,19,Los Angeles,23.81,18.39,4.52
5130018,Albert Powell Continuation,71464,Yuba City Unified,51,Sutter,12.57,7.89,4.49
3335973,Perris High,67207,Perris Union High,33,Riverside,92.6,74.9,11.06
3737384,Sunset High (Continuation),68346,San Dieguito Union High,37,San Diego,7.99,6.01,1.99
132910,College and Career Preparatory Academy,10306,Orange County Department of Education,30,Orange,10,8,2
3630894,Granite Hills High,75077,Apple Valley Unified,36,San Bernardino,72.71,53.59,8.78
1337138,Sam Webb Continuation,63149,Holtville Unified,13,Imperial,0.6,0.02,0.58
3630902,Henry J. Kaiser High,67710,Fontana Unified,36,San Bernardino,101.18,71.79,26.52
124727,Kingsburg Independent Study High,62257,Kingsburg Joint Union High,10,Fresno,1.35,0,1.35
5130042,Butte View High,71449,Sutter Union High,51,Sutter,2.8,1.25,1.64
2230076,Coulterville High,65532,Mariposa County Unified,22,Mariposa,1,0.06,0.94
2230084,Yosemite Park High,65532,Mariposa County Unified,22,Mariposa,1.49,0.85,0.65
4335428,William C. Overfelt High,69427,East Side Union High,43,Santa Clara,64.13,59.32,3.3
3737418,San Dieguito HS Academy,68346,San Dieguito Union High,37,San Diego,81.13,73.17,4.79
5130059,Valley Oak Continuation High,71399,Live Oak Unified,51,Sutter,1.19,1.13,0.06
108365,Segerstrom High,66670,Santa Ana Unified,30,Orange,91.47,81.25,6.72
100180,Mountain Oaks High,75606,Chawanakee Unified,20,Madera,3,0.7,2.29
3032919,Hillview High (Continuation),73643,Tustin Unified,30,Orange,10.9,6.78,4.12
100198,Golden Valley High,63529,Kern High,15,Kern,107.43,86.77,15.22
132969,Compton Early College High,73437,Compton Unified,19,Los Angeles,17.75,17.75,0
116590,Harmony Magnet Academy,75523,Porterville Unified,54,Tulare,20.14,16.22,3.16
3032943,Huntington Beach High,66548,Huntington Beach Union High,30,Orange,109.72,94.68,8.33
1230705,Arcata High,62687,Northern Humboldt Union High,12,Humboldt,45.4,34.5,5.55
108407,Eastside High,64246,Antelope Valley Union High,19,Los Angeles,109.94,83.75,19.92
