DistrictCode,CountyName,DistrictName,SEDcount,SEDpct,MedianIncome
63818,Kern,Taft Union High,900,82.2,31594
63826,Kern,Tehachapi Unified,1483,37.3,31594
63834,Kern,Vineland Elementary,665,99.8,31594
63842,Kern,Wasco Union Elementary,3114,90.1,31594
63859,Kern,Wasco Union High,1707,88.9,31594
73544,Kern,Rio Bravo-Greeley Union Elementary,459,46.3,31594
73742,Kern,Sierra Sands Unified,3119,63.0,31594
73908,Kern,McFarland Unified,3062,88.9,31594
75168,Kern,El Tejon Unified,437,62.5,31594
63875,Kings,Armona Union Elementary,1420,81.7,34046
63883,Kings,Central Union Elementary,745,41.8,34046
63891,Kings,Corcoran Joint Unified,3038,93.3,34046
63917,Kings,Hanford Elementary,4486,78.8,34046
63925,Kings,Hanford Joint Union High,2672,65.9,34046
63933,Kings,Island Union Elementary,176,44.2,34046
63941,Kings,Kings River-Hardwick Union Elementary,186,23.4,34046
63958,Kings,Kit Carson Union Elementary,1320,85.8,34046
63966,Kings,Lakeside Union Elementary,249,93.6,34046
63974,Kings,Lemoore Union Elementary,2246,69.6,34046
63982,Kings,Lemoore Union High,1305,55.7,34046
63990,Kings,Pioneer Union Elementary,886,57.5,34046
73932,Kings,Reef-Sunset Unified,2590,94.9,34046
64014,Lake,Kelseyville Unified,1230,70.5,32940
64022,Lake,Konocti Unified,3209,89.1,32940
64030,Lake,Lakeport Unified,1004,72.3,32940
64048,Lake,Lucerne Elementary,232,84.7,32940
64055,Lake,Middletown Unified,910,55.0,32940
76976,Lake,Upper Lake Unified,693,81.3,32940
64089,Lassen,Big Valley Joint Unified,81,69.2,44993
64105,Lassen,Janesville Union Elementary,164,42.5,44993
64113,Lassen,Johnstonville Elementary,83,46.6,44993
64139,Lassen,Lassen Union High,319,38.8,44993
64162,Lassen,Ravendale-Termo Elementary,11,91.7,44993
64170,Lassen,Richmond Elementary,23,10.9,44993
64188,Lassen,Shaffer Union Elementary,130,69.5,44993
64196,Lassen,Susanville Elementary,663,54.3,44993
64204,Lassen,Westwood Unified,144,76.2,44993
75036,Lassen,Fort Sage Unified,262,51.9,44993
64212,Los Angeles,ABC Unified,11659,59.7,35925
64246,Los Angeles,Antelope Valley Union High,16303,71.5,35925
64261,Los Angeles,Arcadia Unified,2513,28.1,35925
64279,Los Angeles,Azusa Unified,6187,84.4,35925
64287,Los Angeles,Baldwin Park Unified,12788,86.8,35925
64295,Los Angeles,Bassett Unified,2941,91.5,35925
64303,Los Angeles,Bellflower Unified,7904,73.7,35925
64311,Los Angeles,Beverly Hills Unified,572,17.3,35925
64329,Los Angeles,Bonita Unified,3563,36.8,35925
64337,Los Angeles,Burbank Unified,4890,33.3,35925
64345,Los Angeles,Castaic Union,602,32.4,35925
64352,Los Angeles,Centinela Valley Union High,5354,80.4,35925
64378,Los Angeles,Charter Oak Unified,2411,53.3,35925
64394,Los Angeles,Claremont Unified,1914,28.4,35925
64436,Los Angeles,Covina-Valley Unified,7738,68.3,35925
64444,Los Angeles,Culver City Unified,1914,27.0,35925
64451,Los Angeles,Downey Unified,14405,64.8,35925
64469,Los Angeles,Duarte Unified,3344,62.9,35925
64477,Los Angeles,Eastside Union Elementary,3011,95.1,35925
64485,Los Angeles,East Whittier City Elementary,4157,50.5,35925
64501,Los Angeles,El Monte City,6955,91.6,35925
64519,Los Angeles,El Monte Union High,7583,90.7,35925
64527,Los Angeles,El Rancho Unified,5731,71.8,35925
64535,Los Angeles,El Segundo Unified,483,14.0,35925
64550,Los Angeles,Garvey Elementary,3235,73.0,35925
64568,Los Angeles,Glendale Unified,11499,46.1,35925
64576,Los Angeles,Glendora Unified,1875,27.4,35925
64584,Los Angeles,Gorman Joint,627,48.2,35925
64592,Los Angeles,Hawthorne,6754,89.1,35925
64600,Los Angeles,Hermosa Beach City Elementary,69,5.8,35925
64626,Los Angeles,Hughes-Elizabeth Lakes Union Elementary,90,50.6,35925
64634,Los Angeles,Inglewood Unified,8216,84.8,35925
64642,Los Angeles,Keppel Union Elementary,2425,85.2,35925
64659,Los Angeles,La Canada Unified,192,4.8,35925
64667,Los Angeles,Lancaster Elementary,13006,88.2,35925
64683,Los Angeles,Las Virgenes Unified,1242,12.1,35925
64691,Los Angeles,Lawndale Elementary,4795,87.7,35925
64709,Los Angeles,Lennox,6151,95.7,35925
64717,Los Angeles,Little Lake City Elementary,2830,69.4,35925
64725,Los Angeles,Long Beach Unified,45233,64.9,35925
64733,Los Angeles,Los Angeles Unified,469179,81.6,35925
64758,Los Angeles,Los Nietos,1079,78.2,35925
64766,Los Angeles,Lowell Joint,1211,38.6,35925
64774,Los Angeles,Lynwood Unified,12126,94.8,35925
64790,Los Angeles,Monrovia Unified,3074,58.6,35925
64808,Los Angeles,Montebello Unified,18752,81.2,35925
64816,Los Angeles,Mountain View Elementary,5613,97.0,35925
64832,Los Angeles,Newhall,2440,41.2,35925
64840,Los Angeles,Norwalk-La Mirada Unified,11633,71.8,35925
64857,Los Angeles,Palmdale Elementary,19053,89.0,35925
64865,Los Angeles,Palos Verdes Peninsula Unified,798,7.6,35925
64873,Los Angeles,Paramount Unified,12668,92.1,35925
64881,Los Angeles,Pasadena Unified,10768,64.2,35925
64907,Los Angeles,Pomona Unified,20500,91.6,35925
64931,Los Angeles,Rosemead Elementary,1812,77.4,35925
64964,Los Angeles,San Marino Unified,221,7.8,35925
64980,Los Angeles,Santa Monica-Malibu Unified,2235,22.5,35925
64998,Los Angeles,Saugus Union,2195,24.2,35925
65029,Los Angeles,South Pasadena Unified,763,16.2,35925
65037,Los Angeles,South Whittier Elementary,2075,84.9,35925
65045,Los Angeles,Sulphur Springs Union,2591,51.1,35925
65052,Los Angeles,Temple City Unified,2451,44.7,35925
65060,Los Angeles,Torrance Unified,6625,29.5,35925
65078,Los Angeles,Valle Lindo Elementary,790,78.6,35925
65094,Los Angeles,West Covina Unified,10199,69.7,35925
65102,Los Angeles,Westside Union Elementary,4633,50.5,35925
65110,Los Angeles,Whittier City Elementary,4331,74.2,35925
65128,Los Angeles,Whittier Union High,7818,69.5,35925
65136,Los Angeles,William S. Hart Union High,7815,33.1,35925
65151,Los Angeles,Wilsona Elementary,1139,94.4,35925
73437,Los Angeles,Compton Unified,20651,93.4,35925
73445,Los Angeles,Hacienda la Puente Unified,12573,72.6,35925
73452,Los Angeles,Rowland Unified,10173,73.7,35925
73460,Los Angeles,Walnut Valley Unified,3220,23.9,35925
75291,Los Angeles,San Gabriel Unified,3152,58.7,35925
75309,Los Angeles,Acton-Agua Dulce Unified,7586,60.5,35925
75333,Los Angeles,Manhattan Beach Unified,276,4.6,35925
75341,Los Angeles,Redondo Beach Unified,1494,15.2,35925
75713,Los Angeles,Alhambra Unified,9102,57.8,35925
76869,Los Angeles,Wiseburn Unified,1666,35.0,35925
65177,Madera,Alview-Dairyland Union Elementary,218,59.9,31609
65185,Madera,Bass Lake Joint Union Elementary,464,56.2,31609
65193,Madera,Chowchilla Elementary,1869,85.2,31609
65201,Madera,Chowchilla Union High,850,77.4,31609
65243,Madera,Madera Unified,18868,90.2,31609
65276,Madera,Raymond-Knowles Union Elementary,42,59.2,31609
75580,Madera,Golden Valley Unified,888,42.5,31609
75606,Madera,Chawanakee Unified,856,55.9,31609
76414,Madera,Yosemite Unified,924,55.0,31609
65300,Marin,Bolinas-Stinson Union,32,38.1,67925
65318,Marin,Miller Creek Elementary,285,15.3,67925
65334,Marin,Kentfield Elementary,145,13.2,67925
65342,Marin,Laguna Joint Elementary,6,42.9,67925
65359,Marin,Lagunitas Elementary,39,17.0,67925
65367,Marin,Larkspur-Corte Madera,131,9.1,67925
65375,Marin,Lincoln Elementary,0,0.0,67925
65391,Marin,Mill Valley Elementary,147,5.6,67925
65409,Marin,Nicasio,15,44.1,67925
65417,Marin,Novato Unified,2846,38.1,67925
65425,Marin,Reed Union Elementary,62,5.1,67925
65433,Marin,Ross Elementary,6,1.6,67925
65458,Marin,San Rafael City Elementary,3026,68.5,67925
65466,Marin,San Rafael City High,1442,54.1,67925
65474,Marin,Sausalito Marin City,228,49.9,67925
65482,Marin,Tamalpais Union High,563,10.9,67925
73361,Marin,Shoreline Unified,319,63.8,67925
75002,Marin,Ross Valley Elementary,194,11.0,67925
65532,Mariposa,Mariposa County Unified,1180,67.2,33858
65540,Mendocino,Anderson Valley Unified,350,80.6,34119
65557,Mendocino,Arena Union Elementary,145,52.5,34119
65565,Mendocino,Fort Bragg Unified,1438,80.8,34119
65573,Mendocino,Manchester Union Elementary,23,53.5,34119
65581,Mendocino,Mendocino Unified,207,43.4,34119
65599,Mendocino,Point Arena Joint Union High,103,73.0,34119
65607,Mendocino,Round Valley Unified,478,96.2,34119
65615,Mendocino,Ukiah Unified,5093,78.4,34119
65623,Mendocino,Willits Unified,1154,61.8,34119
73866,Mendocino,Potter Valley Community Unified,159,58.7,34119
73916,Mendocino,Laytonville Unified,208,57.8,34119
75218,Mendocino,Leggett Valley Unified,67,50.0,34119
65631,Merced,Atwater Elementary,3896,80.9,32697
65649,Merced,Ballico-Cressey Elementary,217,62.4,32697
65680,Merced,El Nido Elementary,146,93.0,32697
65698,Merced,Hilmar Unified,1298,55.2,32697
65722,Merced,Le Grand Union Elementary,296,82.0,32697
65730,Merced,Le Grand Union High,460,89.5,32697
65748,Merced,Livingston Union,2096,84.7,32697
65755,Merced,Los Banos Unified,7943,73.2,32697
65763,Merced,McSwain Union Elementary,322,38.4,32697
65771,Merced,Merced City Elementary,8137,75.3,32697
65789,Merced,Merced Union High,8495,77.4,32697
65813,Merced,Plainsburg Union Elementary,35,33.7,32697
65821,Merced,Planada Elementary,773,92.2,32697
65839,Merced,Snelling-Merced Falls Union Elementary,57,76.0,32697
65862,Merced,Weaver Union,2406,81.3,32697
65870,Merced,Winton,1781,91.6,32697
73619,Merced,Gustine Unified,1503,85.2,32697
73726,Merced,Merced River Union Elementary,185,84.9,32697
75317,Merced,Dos Palos Oro Loma Joint Unified,2116,92.3,32697
75366,Merced,Delhi Unified,2121,84.7,32697
65896,Modoc,Surprise Valley Joint Unified,77,63.6,32627
73585,Modoc,Modoc Joint Unified,526,64.6,32627
73593,Modoc,Tulelake Basin Joint Unified,340,83.5,32627
73668,Mono,Eastern Sierra Unified,260,65.0,36904
73692,Mono,Mammoth Unified,532,47.5,36904
65961,Monterey,Alisal Union,7565,90.4,38130
65979,Monterey,Bradley Union Elementary,30,43.5,38130
65987,Monterey,Carmel Unified,334,14.3,38130
65995,Monterey,Chualar Union,270,88.5,38130
66027,Monterey,Graves Elementary,18,45.0,38130
66035,Monterey,Greenfield Union Elementary,3061,88.3,38130
66050,Monterey,King City Union,2291,89.7,38130
66068,Monterey,South Monterey County Joint Union High,2293,86.2,38130
66076,Monterey,Lagunita Elementary,15,16.0,38130
66084,Monterey,Mission Union Elementary,30,24.4,38130
66092,Monterey,Monterey Peninsula Unified,6691,67.0,38130
66134,Monterey,Pacific Grove Unified,394,20.7,38130
66142,Monterey,Salinas City Elementary,6580,79.6,38130
66159,Monterey,Salinas Union High,14285,87.0,38130
66167,Monterey,San Antonio Union Elementary,69,57.5,38130
66175,Monterey,San Ardo Union Elementary,103,92.8,38130
66183,Monterey,San Lucas Union Elementary,62,87.3,38130
66191,Monterey,Santa Rita Union Elementary,2565,73.9,38130
66225,Monterey,Spreckels Union Elementary,146,15.3,38130
66233,Monterey,Washington Union Elementary,76,9.6,38130
73825,Monterey,North Monterey County Unified,3855,84.1,38130
75150,Monterey,Big Sur Unified,24,23.3,38130
75440,Monterey,Soledad Unified,4521,92.1,38130
75473,Monterey,Gonzales Unified,1971,87.4,38130
66241,Napa,Calistoga Joint Unified,667,76.8,47607
66258,Napa,Howell Mountain Elementary,33,37.5,47607
66266,Napa,Napa Valley Unified,9098,52.8,47607
66282,Napa,Pope Valley Union Elementary,33,66.0,47607
66290,Napa,Saint Helena Unified,532,44.8,47607
66316,Nevada,Chicago Park Elementary,67,43.8,41039
66324,Nevada,Clear Creek Elementary,68,42.0,41039
66332,Nevada,Grass Valley Elementary,984,58.1,41039
