SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,Latitude,Longitude
3337128,Alvord Continuation High,66977,Alvord Unified,33,Riverside,33.89137,-117.48904
3337136,Rubidoux High,67090,Jurupa Unified,33,Riverside,33.9991,-117.42669
117689,Sentinel High,75572,Waterford Unified,50,Stanislaus,37.63631,-120.77503
4230074,Refugio High,69328,Santa Ynez Valley Union High,42,Santa Barbara,34.60762,-120.09977
109512,Cal Burke High,64733,Los Angeles Unified,19,Los Angeles,34.21756,-118.45254
1330133,Southwest High,63115,Central Union High,13,Imperial,32.77676,-115.58045
117721,Contreras Learning Center-Academic Leadership Community,64733,Los Angeles Unified,19,Los Angeles,34.05782,-118.26113
1330141,Renaissance,63081,Brawley Union High,13,Imperial,32.98531,-115.53969
1936350,North Hollywood Senior High,64733,Los Angeles Unified,19,Los Angeles,34.16581,-118.38816
109538,Marco Antonio Firebaugh High,64774,Lynwood Unified,19,Los Angeles,33.91913,-118.18319
3730405,Bonita Vista Senior High,68411,Sweetwater Union High,37,San Diego,32.64616,-116.99827
1534957,Rosamond High Early College Campus,63776,Southern Kern Unified,15,Kern,34.86562,-118.18267
117747,Los Angeles High School of the Arts,64733,Los Angeles Unified,19,Los Angeles,34.05981,-118.29684
1936384,North Park Continuation High,64287,Baldwin Park Unified,19,Los Angeles,34.0958200000001,-117.95712
330753,Amador High,73981,Amador County Unified,3,Amador,38.39814,-120.81179
117762,School for the Visual Arts and Humanities,64733,Los Angeles Unified,19,Los Angeles,34.05981,-118.29684
732164,De Anza High,61796,West Contra Costa Unified,7,Contra Costa,37.969409,-122.28804
3730447,Borrego Springs High,67983,Borrego Springs Unified,37,San Diego,33.26496,-116.38281
1936418,Northview High,64436,Covina-Valley Unified,19,Los Angeles,34.09436,-117.91108
3132453,Del Oro High,66894,Placer Union High,31,Placer,38.8305,-121.18292
125989,STEM Academy at Bernstein High,64733,Los Angeles Unified,19,Los Angeles,34.09506,-118.31392
1035310,Reedley High,62265,Kings Canyon Joint Unified,10,Fresno,36.60123,-119.45592
2133056,San Marin High,65417,Novato Unified,21,Marin,38.119561,-122.60953
134213,Come Back Butte Charter,10041,Butte County Office of Education,4,Butte,39.505353,-121.553401
3632205,Chaffey High,67652,Chaffey Joint Union High,36,San Bernardino,34.0803,-117.65381
3738705,Vista High,68452,Vista Unified,37,San Diego,33.22249,-117.24031
1936467,Norwalk High,64840,Norwalk-La Mirada Unified,19,Los Angeles,33.90731,-118.09148
1936475,El Camino High (Continuation),64840,Norwalk-La Mirada Unified,19,Los Angeles,33.92048,-118.01992
3034204,Magnolia High,66431,Anaheim Union High,30,Orange,33.81624,-117.97257
3632221,Cajon High,67876,San Bernardino City Unified,36,San Bernardino,34.17621,-117.309
101477,Leadership Public Schools: Richmond,61796,West Contra Costa Unified,7,Contra Costa,37.933872,-122.36121
